num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,env_runners/blue_team_score_mean,env_runners/connector_pipeline_timer,env_runners/env_reset_timer,env_runners/env_step_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_duration_sec_mean,env_runners/episode_len_max,env_runners/episode_len_mean,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/episode_return_mean,env_runners/episode_return_min,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/num_episodes,env_runners/num_episodes_lifetime,env_runners/red_team_score_mean,env_runners/rlmodule_inference_timer,env_runners/sample,env_runners/time_between_sampling,env_runners/weights_seq_no,env_runners/num_env_steps_sampled_lifetime_throughput,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/restore_env_runners,timers/synch_env_connectors,timers/synch_weights,timers/training_iteration,timers/training_step,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/agent_steps/red_robot_0,env_runners/agent_steps/red_robot_1,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/module_episode_returns_mean/shared_policy,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/num_module_steps_sampled/shared_policy,env_runners/num_module_steps_sampled_lifetime/shared_policy,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/curr_kl_coeff,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/entropy,learners/shared_policy/mean_kl_loss,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/num_module_steps_trained,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/num_trainable_parameters,learners/shared_policy/policy_loss,learners/shared_policy/total_loss,learners/shared_policy/vf_explained_var,learners/shared_policy/vf_loss,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/weights_seq_no,learners/shared_policy/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor
1,2254703.0,False,501,de512_00000,2026-03-07_08-31-56,1772890316,30.86064624786377,30.86064624786377,2792556,dh-node1,10.199.0.21,30.86064624786377,1,0.0,0.0013690172632022423,0.00393498281150191,0.0026199561714367776,61.62547371650754,61.62547371650754,0.4775962366644915,277,100.26190476190479,28,81.0,38.458333333333336,-2.25,4211.0,2254703.0,42.0,21245.0,55.96017937735477,0.0008696738699408276,0.5938388002050277,0.3692473144749945,500.0,202.38856219192826,5.328225017677327,21.616060293804317,2.330182388790197e-05,0.008769613998556145,0.021156754792990912,26.976451654333825,26.97568658983386,7,0,7,12.130232558139536,9.632558139534884,0.15000000000000002,0.013770288275193793,19.119047619047624,19.33928571428572,54.09523809523809,52.64285714285713,0.0003884460055503703,19.33928571428572,0.0009811970796255063,2272.0,2211.0000000000005,1217194.0000000123,1184252.9999999816,4483.0,2401446.9999999846,4472.342833412087,4472.342833412087,4509981,5133332977,137088,146027648,0,423089,4345023.98705924,123686.66471921963,0.05,0.30000001192092896,0.001,1.0,1.6217351,0.022501124,128.0,137088,146027648,423089,-0.06543158,5.819368,0.14128035,5.9613857,54.67671,501.0,123678.84524843426,0.00012057256394398324,3.0446750234543726e-05,4.405952433721822e-05,2.43642172711601e-05,0.00017246136942445026,0.0001599455481245403,0.2383992937558138,4.2232187286609965e-05,1.096423433791297e-05,1.7920709188712643e-05,1.0408173368042081e-05,6.458580500595353e-05,8.254498987542722e-05,0.00043381002887517457,2.0846976136678375e-05,9.466934180436462e-06,0.0001075557736758581,4.270354121488648e-06,0.0001571716861118062,4.414158730262937e-05,0.0857319602917233,0.002268690978099541,0.017311844791586924,9.721559762206622e-06,3.191353149270698e-05,0.004642598746868417,0.1094384085643945,0.017253130592275144,0.0013349179407332352
1,2259606.000000001,False,502,de512_00000,2026-03-07_08-32-27,1772890347,30.978084564208984,61.838730812072754,2792556,dh-node1,10.199.0.21,61.838730812072754,2,0.0,0.001342213024314921,0.00401708455410616,0.002430019593309421,68.3274510645184,68.3274510645184,0.4857821035132346,263,100.06122448979592,31,71.75,34.37755102040818,-2.25,4903.0,2259606.000000001,49.0,21294.0,55.295569140216024,0.0007030928903727987,0.5862670752517876,0.6207644694085767,501.0,199.95266994540748,5.3343227655712075,21.64977156431674,2.347314516555835e-05,0.008788043297622122,0.021229503484473878,27.016332214260235,27.015564890445066,7,0,7,12.959523809523809,11.216666666666667,0.14261904761904762,0.01665736607142857,16.806122448979586,17.571428571428577,52.14285714285713,53.714285714285694,0.0003613124888914983,17.571428571428577,0.0007512379157188166,2555.0000000000005,2632.0,1219749.0000000119,1186884.9999999823,5187.000000000001,2406633.9999999832,4476.649405077966,4476.649405077966,6074817,5139407794,158592,146186240,0,423089,4137552.2365537947,117757.63917256404,0.05,0.45000001788139343,0.001,1.0,1.638749,0.026817072,128.0,158592,146186240,423089,-0.12387887,5.563105,0.2239036,5.760876,43.71888,502.0,117750.20985415044,0.00012132793541768566,2.9937132120623376e-05,4.405133961059906e-05,2.4425828498051384e-05,0.0001731960359408112,0.0001616229402794148,0.24180485607823593,4.125584982111417e-05,1.0474143093924596e-05,1.734250274160111e-05,1.0349897953486231e-05,6.164890411004424e-05,7.746386232642018e-05,0.00034416156036229454,1.8541259097794303e-05,9.0321335300488e-06,5.312898058308297e-05,3.882855514710526e-06,0.00010675755884545549,4.0069948643110116e-05,0.08601185157968963,0.0022753339482264366,0.017335592543510914,9.776183504690209e-06,3.234810622419047e-05,0.004663919149522654,0.11257298367872301,0.01718640281608432,0.0013391472909855616
1,2264028.9999999995,False,503,de512_00000,2026-03-07_08-32-53,1772890373,26.10986065864563,87.94859147071838,2792556,dh-node1,10.199.0.21,87.94859147071838,3,0.0,0.0013119548942542604,0.0040803135476489075,0.0022195561163154747,86.77317616114244,86.77317616114244,0.5948147304588929,288,126.3714285714286,52,76.5,35.8142857142857,-5.25,4423.0,2264028.9999999995,35.0,21329.0,54.73021084364193,0.0006840299308103659,0.5852478786881945,0.8525020074367191,502.0,197.36852459617063,5.328291814334747,21.646570473073528,2.34768241439318e-05,0.008785351044155615,0.02131486563928705,27.00716458934773,27.006397567140663,7,0,7,10.738888888888889,11.699999999999998,0.16444444444444445,0.016992187499999995,17.164285714285715,18.65,71.3142857142857,63.05714285714284,0.0003553127559110005,18.65,0.0007276548044710262,2496.0,2207.0,1222245.0000000126,1189091.9999999818,4703.0,2411336.999999982,4476.112911027186,4476.112911027186,4949337,5144357131,143232,146329472,0,423089,3940137.1088244626,112143.5990219973,0.05,0.675000011920929,0.001,1.0,1.5851482,0.028370656,128.0,143232,146329472,423089,-0.18779872,3.82164,0.39553207,4.0759296,33.38286,503.0,112136.53484610151,0.00012033000970358336,2.9417545894942175e-05,4.411999204441279e-05,2.434542203407682e-05,0.0001721115980968817,0.00016231098312537897,0.2411036529371771,4.012963278479132e-05,1.0518714507761449e-05,1.6823026397881807e-05,1.0120468129305197e-05,6.119797664702839e-05,7.540988642193334e-05,0.0003324482619666694,1.7915376489704765e-05,8.827016636992592e-06,5.152048462011534e-05,3.764755498185086e-06,0.00010399194698887291,3.920396555931235e-05,0.08592166011387975,0.0022750099681224656,0.017368733628152222,9.763522434052014e-06,3.2477565747040274e-05,0.0046561848572930446,0.11202007928167575,0.01710348798792223,0.0013382403077829821
1,2268596.999999999,False,504,de512_00000,2026-03-07_08-33-22,1772890402,28.808295011520386,116.75688648223877,2792556,dh-node1,10.199.0.21,116.75688648223877,4,0.0,0.0012800942287157667,0.004099026198516187,0.0023356761338299194,67.6655432958219,67.6655432958219,0.4401290939303532,211,93.22448979591834,30,69.75,34.21938775510204,-3.0,4568.0,2268596.999999999,49.0,21378.0,54.19506077553324,0.0006559147256453312,0.5806694269338585,1.0287645369568479,503.0,196.06548321659574,5.327504948270768,21.665113936383495,2.3635214891519624e-05,0.008758094723881815,0.02135894365282224,27.02499276076406,27.024222111858354,7,0,7,10.70769230769231,11.720512820512823,0.13333333333333336,0.016992187499999995,16.545918367346935,17.673469387755098,47.95918367346939,50.85714285714286,0.0003433138059061876,17.673469387755098,0.0007083806957276375,2350.0,2491.9999999999995,1224595.0000000133,1191583.9999999816,4842.0,2416178.9999999823,4477.031781916914,4477.031781916914,5289744,5149646875,148224,146477696,0,423089,3752299.9592210623,106793.3625339757,0.05,1.0125000476837158,0.001,1.0,1.624157,0.02596324,128.0,148224,146477696,423089,0.03224944,5.21436,0.20413661,5.245793,31.315086,504.0,106786.65445526164,0.00011875264130656543,2.8977918751250524e-05,4.395892371419566e-05,2.4122982224758475e-05,0.00016975931491254202,0.00016189042848115974,0.24038862105766237,3.912495762016168e-05,1.0043021574426943e-05,1.63604295591862e-05,9.876584998436445e-06,5.87705305832068e-05,7.327238547588636e-05,0.000323076173599945,1.732037942709065e-05,8.650487882203643e-06,5.215516960514453e-05,3.6118066005987524e-06,0.0001017956462777232,3.811621633313391e-05,0.08582888137317955,0.0022750720782318133,0.01737262779189989,9.744856379119577e-06,3.251904084110994e-05,0.004653753999001815,0.11147907062899863,0.01702096589843237,0.0013378782948841607
1,2272936.9999999995,False,505,de512_00000,2026-03-07_08-33-50,1772890430,28.154679536819458,144.91156601905823,2792556,dh-node1,10.199.0.21,144.91156601905823,5,0.0,0.0012497414718341197,0.004157113689445136,0.0025448570295731367,66.29509950577611,66.29509950577611,0.4343601098778295,317,88.5714285714286,29,69.0,34.06122448979591,1.25,4340.0,2272936.9999999995,49.0,21427.0,53.60012774366453,0.0006859928168177031,0.5727566889191915,1.2088136777507297,504.0,193.82448814921256,5.32513234611836,21.678660132689895,2.368027233590346e-05,0.008773515906696934,0.02135676675623248,27.036156379497193,27.03538620879966,7,0,7,11.425641025641024,11.800000000000002,0.1417948717948718,0.016992187499999995,16.673469387755098,17.387755102040817,47.20408163265305,46.93877551020409,0.00035964878469006245,17.387755102040817,0.0007397032605873979,2313.0,2300.0,1226908.000000013,1193883.9999999814,4612.999999999999,2420791.9999999837,4475.661464097744,4475.661464097744,4795700,5154442575,141440,146619136,0,423089,3573183.127921064,101704.32614988819,0.05,1.5187500715255737,0.001,1.0,1.652242,0.025035685,128.0,141440,146619136,423089,-0.09662619,5.0219555,0.28834754,5.175845,34.979996,505.0,101697.96992458391,0.00011712219098833438,2.8464574923193956e-05,4.393245870477344e-05,2.3945813273437352e-05,0.0001680411492836645,0.0001624384414860525,0.23960820392716323,4.147983771409019e-05,1.055387810248911e-05,1.6939093290810276e-05,1.0371258354437642e-05,6.10458613550305e-05,7.666658982987726e-05,0.0003367886275519527,1.83539423264746e-05,8.971415405026818e-06,5.37785271707901e-05,3.918370757258399e-06,0.00010576477250100456,3.956972372618733e-05,0.08571532211954916,0.0022747413779906716,0.017345144853385355,9.749137344306849e-06,3.2576670576994535e-05,0.004648771279502798,0.11092393291290455,0.01694150641940006,0.0013382043217611864
1,2277860.9999999986,False,506,de512_00000,2026-03-07_08-34-21,1772890461,30.550646543502808,175.46221256256104,2792556,dh-node1,10.199.0.21,175.46221256256104,6,0.0,0.001217518914662176,0.0041805237634191675,0.0022600907224434824,79.86171237606884,79.86171237606884,0.533326227508951,263,117.23809523809521,30,70.25,35.14285714285715,6.0,4924.0,2277860.9999999986,42.0,21469.0,53.132405696580214,0.0006572965985749439,0.5661801536786717,1.379026317159621,505.0,192.62176308000005,5.329244433076961,21.70950846946265,2.3698589133715278e-05,0.008770094678340742,0.02138343004827744,27.071149419202094,27.07037879605166,7,0,7,11.804761904761905,11.8,0.14904761904761907,0.0169921875,17.077380952380956,18.065476190476197,65.02380952380952,60.5,0.00034163747876312994,18.065476190476197,0.0007021733749934771,2731.0,2541.0,1229639.0000000135,1196424.9999999816,5271.999999999999,2426063.9999999846,4480.144849456767,4480.144849456767,6184544,5160627119,160768,146779904,0,423089,3404577.397595088,96880.45002181092,0.05,1.5187500715255737,0.001,1.0,1.6170205,0.017323844,128.0,160768,146779904,423089,-0.14775562,4.4497814,0.38717848,4.6520777,40.252464,506.0,96874.41057439933,0.00011565033922531145,2.780698826477821e-05,4.370660365891479e-05,2.383264855362124e-05,0.00016628579967541208,0.00016193774100440176,0.2419673496073252,3.894027694030466e-05,9.834372813821694e-06,1.6432751883297276e-05,9.850248803391246e-06,5.880728497830034e-05,7.309483982903906e-05,0.0003206431751314635,1.7165147887089208e-05,8.617209138010384e-06,5.035204789677632e-05,3.592109948549175e-06,0.00010064377467265959,3.753307812874823e-05,0.08572287110771828,0.002275482343294339,0.017371786474430953,9.753036731255732e-06,3.303953385757036e-05,0.004651083486603597,0.11331749951294084,0.016868874496113122,0.0013379795894391962
1,2281981.999999999,False,507,de512_00000,2026-03-07_08-34-47,1772890487,25.99573564529419,201.45794820785522,2792556,dh-node1,10.199.0.21,201.45794820785522,7,0.0,0.0011912538869748544,0.004209812701897047,0.002439089449896288,63.367990413562154,63.367990413562154,0.4130729510762483,268,84.10204081632652,32,61.75,32.10714285714285,3.75,4121.0,2281981.999999999,49.0,21518.0,52.581369582047095,0.0006635997366183977,0.5601043031911401,1.5542032052465078,506.0,189.8944545092714,5.326225666566997,21.701520075877507,2.3698853011648545e-05,0.008769332482021804,0.02139082670824573,27.060197010739092,27.059424338301177,7,0,7,11.745714285714286,11.800000000000002,0.146,0.016992187499999995,16.693877551020414,15.413265306122446,44.81632653061225,43.93877551020409,0.0003476931130947973,15.413265306122446,0.0007125441659220758,2195.9999999999995,2153.0,1231835.000000014,1198577.9999999814,4349.0,2430412.9999999832,4476.553400962199,4476.553400962199,4298203,5164925322,133504,146913408,0,423089,3242607.3788649198,92292.95590522572,0.05,1.5187500715255737,0.001,1.0,1.7434486,0.0150941005,128.0,133504,146913408,423089,0.03569404,4.7857,0.27251494,4.8142543,33.561813,507.0,92287.2055600536,0.00011412635985436308,2.760009139260275e-05,4.359272435017037e-05,2.3712808358396665e-05,0.00016460125253126565,0.00016301452232646554,0.24159418236129626,3.956783758346664e-05,1.0067736758298298e-05,1.6587059228537685e-05,1.0004346905767614e-05,5.9363919897636635e-05,7.431142243874954e-05,0.0003255468192632835,1.751363920866665e-05,8.633762224800938e-06,5.0502669270228205e-05,3.6953772764512563e-06,0.00010197131727997407,3.833057831724078e-05,0.0857965991768531,0.0022790796588184037,0.017393228429827913,9.758736486419992e-06,3.307799930205008e-05,0.004657784131418174,0.11290470651882958,0.01680340521114948,0.0013367932635739645
1,2286404.999999999,False,508,de512_00000,2026-03-07_08-35-15,1772890515,28.29081082344055,229.74875903129578,2792556,dh-node1,10.199.0.21,229.74875903129578,8,0.0,0.0011715397488708105,0.0042677370422824976,0.0025224854345658842,59.22237798075216,59.22237798075216,0.44918268228814545,252,90.26530612244895,26,74.25,35.933673469387756,0.0,4423.0,2286404.999999999,49.0,21567.0,51.91938881521075,0.000692915749525519,0.5518398221956204,1.6736530827082412,507.0,188.89138089045866,5.322878336041663,21.71697720312921,2.3704294732623776e-05,0.008782288218115879,0.02141974588154246,27.07235459625184,27.071581395558102,7,0,7,10.456410256410253,11.800000000000002,0.1471794871794872,0.016992187499999995,17.29081632653061,18.642857142857146,49.08163265306122,47.14285714285714,0.0003603748862145354,18.642857142857146,0.0007398387485208172,2405.0,2310.0000000000005,1234240.0000000137,1200887.999999982,4715.0,2435127.9999999837,4476.017866952577,4476.017866952577,4993567,5169918889,144512,147057920,0,423089,3089287.2413736437,87933.27281095812,0.05,2.278125047683716,0.001,1.0,1.7393357,0.022026302,128.0,144512,147057920,423089,-0.104261845,5.5770745,0.206231,5.7348504,67.35729,508.0,87927.81024418544,0.00011342953514744518,2.758341169990015e-05,4.351274741041522e-05,2.3932291812466248e-05,0.00016433444272344233,0.00016499390270445884,0.24138875598767104,4.135618240398544e-05,1.0570039005975088e-05,1.724528356000718e-05,1.0545996359609441e-05,6.125809490003446e-05,7.69702585669325e-05,0.0003368347443976498,1.850699611831352e-05,8.925434710475375e-06,5.267064005346217e-05,3.9481644446301425e-06,0.00010535331765763422,4.1123613695858657e-05,0.08596331010499936,0.002286594112778046,0.017429064735814143,9.762839069324836e-06,3.311620931309223e-05,0.004667674580380818,0.112539185333816,0.016742526729332692,0.00133702774068286
1,2290544.9999999986,False,509,de512_00000,2026-03-07_08-35-42,1772890542,26.2033588886261,255.95211791992188,2792556,dh-node1,10.199.0.21,255.95211791992188,9,0.0,0.0011454406419994874,0.004287816043441809,0.0024669802838374164,67.54524749052302,67.54524749052302,0.48921400589391684,265,98.5714285714286,28,72.0,38.44642857142856,5.0,4140.0,2290544.9999999986,42.0,21609.0,51.77111214777576,0.0006812226238670579,0.5482429893655173,1.8136836564785184,508.0,186.78412637210081,5.3183513202103745,21.712641292628447,2.3709611023042943e-05,0.00878480031598482,0.021456657613012242,27.063531616589934,27.06275896758303,7,0,7,11.374999999999998,11.800000000000002,0.14416666666666667,0.016992187499999995,20.16071428571428,18.28571428571428,55.59523809523809,48.380952380952394,0.00036056903233426925,18.28571428571428,0.0007340050251324907,2335.0,2031.9999999999998,1236575.0000000142,1202919.9999999825,4367.000000000001,2439494.9999999832,4472.65768828305,4472.65768828305,4322160,5174241049,133632,147191552,0,423089,2943057.5005573933,83791.20601232785,0.05,2.278125047683716,0.001,1.0,1.7426008,0.01339042,128.0,133632,147191552,423089,0.057283416,5.1780562,0.2899624,5.1773973,28.81785,509.0,83786.01182849414,0.00011169467015828107,2.7238572990849957e-05,4.3216790107835265e-05,2.3829311088399644e-05,0.00016264513236050035,0.0001643702329033228,0.24056420540746293,4.141229743434656e-05,1.0613914204736585e-05,1.7371671900724413e-05,1.0521954087576242e-05,6.145188325549788e-05,7.643507257926711e-05,0.0003331338897436001,1.866401615284522e-05,8.956754719836132e-06,5.2629642341573344e-05,3.938602611178573e-06,0.00010490282731998549,3.9426013905733286e-05,0.08583190248378314,0.0022862028224095153,0.017444142239351465,9.740410319918916e-06,3.30892672314191e-05,0.004658317344588012,0.11193101370054072,0.016655399882546825,0.0013339475532707003
1,2294866.999999999,False,510,de512_00000,2026-03-07_08-36-08,1772890568,26.67176842689514,282.623886346817,2792556,dh-node1,10.199.0.21,282.623886346817,10,0.0,0.00112677294406303,0.004324843860822695,0.0024396084321297563,73.43866894065133,73.43866894065133,0.49691207285338473,295,102.90476190476191,31,69.75,38.09523809523809,3.75,4321.999999999999,2294866.999999999,42.0,21651.0,51.62982451475372,0.0006890376417790414,0.5446887838407092,1.9340802358443243,509.0,185.5495087032438,5.318010615418331,21.708845010392174,2.3685365194781226e-05,0.008774770712120182,0.021482611407307776,27.059442606693043,27.058669732497503,7,0,7,12.463888888888889,11.800000000000002,0.15055555555555555,0.016992187499999995,19.565476190476197,18.529761904761905,57.57142857142856,51.285714285714306,0.00036065063135358596,18.529761904761905,0.0007378161036591466,2417.9999999999995,2154.0,1238993.0000000137,1205073.9999999825,4572.000000000001,2444066.999999984,4471.1511114002205,4471.1511114002205,4719624,5178960673,139776,147331328,0,423089,2804737.174173548,79863.23058241965,0.05,2.278125047683716,0.001,1.0,1.5817498,0.013504666,128.0,139776,147331328,423089,-0.068858914,4.475404,0.29434007,4.5925846,33.78837,510.0,79858.30046344914,0.00011062979297149917,2.6726403670985623e-05,4.346828675186994e-05,2.3623855047116502e-05,0.0001615230590645575,0.0001641762268526871,0.24202752629414825,4.13296054492481e-05,1.0481586645069562e-05,1.7154409933455767e-05,1.0370905996884874e-05,6.172149318138434e-05,7.694329041873412e-05,0.00033808800905438247,1.8262841412960562e-05,8.90629756442529e-06,5.2757953016054734e-05,3.9463864290514935e-06,0.00010586070110196622,3.9025378420221035e-05,0.08567726315001413,0.002281798974314948,0.017415203997059467,9.722616834551078e-06,3.303434522856819e-05,0.004648995431582705,0.11367726762416559,0.0165728987041785,0.0013314153684112493
