num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_len_mean,env_runners/episode_return_min,env_runners/episode_return_max,env_runners/sample,env_runners/episode_return_mean,env_runners/env_step_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/red_team_score_mean,env_runners/episode_len_min,env_runners/rlmodule_inference_timer,env_runners/env_reset_timer,env_runners/weights_seq_no,env_runners/connector_pipeline_timer,env_runners/num_episodes_lifetime,env_runners/episode_duration_sec_mean,env_runners/num_env_steps_sampled,env_runners/num_episodes,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_max,env_runners/env_to_module_sum_episodes_length_out,env_runners/blue_team_score_mean,env_runners/time_between_sampling,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/module_episode_returns_mean/shared_policy,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/agent_steps/red_robot_1,env_runners/agent_steps/red_robot_0,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/num_module_steps_sampled/shared_policy,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/mean_kl_loss,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/weights_seq_no,learners/shared_policy/curr_kl_coeff,learners/shared_policy/vf_loss,learners/shared_policy/total_loss,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/num_module_steps_trained,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/entropy,learners/shared_policy/vf_explained_var,learners/shared_policy/num_trainable_parameters,learners/shared_policy/policy_loss,learners/shared_policy/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping
1,11375.0,False,1,fadeb_00000,2026-03-17_18-25-23,1773786323,66.03412914276123,66.03412914276123,1410570,dh-node1,10.199.0.21,66.03412914276123,1,66.01387213310227,2.787797711789608e-05,66.01320598693565,28.016491442918777,37.955954923061654,0.03350156592205167,169.78571428571425,-641.3000000000002,51.924999999999976,0.8695285213091436,-30.896428571428586,0.01798637669886115,135.0859348344325,25.91184692857143,27,0.0013743839190116453,0.003303817721346352,0.0,0.001179081257245944,70.0,2.631592864353609,4754.000000000001,28.0,11375.0,837,135.0859348344325,0.0,0.42325993722240607,nan,7,0,7,6.752747252747252,10.051648351648351,0.09406593406593405,0.01306733630952381,8310.000000000002,8069.000000000001,-15.880357142857148,0.0020087416022353277,3254.0,3253.0000000000005,0.00041102613158952063,-15.016071428571426,-15.880357142857148,116.17857142857139,116.21428571428574,16379.0,6506.999999999999,494418,196992,4754,7316406,7316406,196992,4754,0,nan,nan,128.0,196992,0.13838951,0.001,1.0,0.30000001192092896,6.485618,5.972603,133.62723,0.05,196992,1.0,7.886976,0.04585868,494418,-0.14634468,nan,0.00010247439221180476,0.00013294976021383523,3.9160146548404425e-05,0.00018720306803720967,2.5579387331431333e-05,2.0823871359994105e-05,0.4294398541096598,3.017027311497562e-05,0.0012809307760545164,0.0001770037041766237,0.0002028799797140649,8.395528904986871e-05,3.891897935267472e-06,1.1532322304246227e-05,2.0901083877708017e-05,8.921325390052803e-05,1.1188296821072844e-05,1.1278594326911728e-05,4.746741718040587e-05,6.612176983375834e-05,0.10815634299069643,0.015214215032756329,5.690101534128189e-05,0.20356074394658208,0.09005657117813826,0.002829554956406355,0.0012036720290780067,1.247902400791645e-05,0.007639337098225951
1,17316.000000000004,False,2,fadeb_00000,2026-03-17_18-26-39,1773786399,75.35744738578796,141.3915765285492,1410570,dh-node1,10.199.0.21,141.3915765285492,2,66.10711917728186,2.7795657515525815e-05,66.10645254657604,28.032785260470117,38.032872741841715,0.033505618043709544,212.17857142857147,-626.4000000000001,54.89999999999999,0.9246747023278259,-31.313392857142855,0.007064751451227144,160.97936156235573,26.17973210631647,52,0.0009662564507692158,0.003388332055547832,1.0,0.0011730635202742627,98.0,3.069752178296248,5941.0,28.0,17316.000000000004,817,160.97936156235573,0.0,0.8531245377527404,87.77329451354522,7,0,7,7.880582524271843,10.14174757281553,0.10553398058252426,0.019027482807443364,12167.000000000002,12055.999999999995,-15.29553571428571,0.0012954392168770363,3987.000000000001,3857.0,0.00033599117287432223,-16.017857142857142,-15.29553571428571,137.75,142.39285714285714,24222.999999999996,7844.0,494418,434048,4765.87,11002732,18319138,237056,4765.87,0,nan,nan,128.0,434048,0.12478255,0.001,2.0,0.45000001788139343,5.8458605,5.2477374,115.80516,0.05,237056,1.0,8.133817,0.096461594,494418,-0.22886664,nan,0.00010296601888598992,0.00013421222341613144,3.936829301396204e-05,0.00019142959633305633,2.5502682289659975e-05,2.0953137555111335e-05,0.430188476878684,2.3833271099226344e-05,0.0007446327713799995,0.00015358686023156295,0.00012804271555936944,6.883600621587134e-05,3.4919189723970164e-06,1.0889521154749623e-05,1.691579492660759e-05,7.169527284652127e-05,9.389345251722369e-06,9.821171678609086e-06,3.940255474853367e-05,5.671655016625951e-05,0.10837663346203044,0.015369496652856468,5.6594926863908764e-05,0.2046779816178605,0.0892995530180633,0.002823548298329115,0.001212535658851266,1.2437764089554548e-05,0.007653107086662203
1,21554.000000000007,False,3,fadeb_00000,2026-03-17_18-27-23,1773786443,44.60403609275818,185.99561262130737,1410570,dh-node1,10.199.0.21,185.99561262130737,3,65.89196139903693,2.7714671008288856e-05,65.89129530998851,27.91764150004482,37.93296396809365,0.03343133154388051,201.80952380952382,-332.9999999999999,33.024999999999984,1.0024288730864694,-22.849999999999984,0.005744129111710521,167.100295576188,26.118683729065445,54,0.0009080082030928752,0.0034602590364053226,2.0,0.0011630639543151338,119.0,2.061133288567709,4238.0,21.0,21554.000000000007,437,167.100295576188,0.0,1.471865788029596,86.7869908400302,7,0,7,6.888524590163935,10.122950819672132,0.11836065573770493,0.019856770833333325,14682.000000000002,14775.999999999993,-9.811904761904755,0.0012206785838804672,2720.0000000000005,2514.9999999999995,0.00031730582368053354,-13.038095238095229,-9.811904761904755,119.76190476190479,129.52380952380958,29458.000000000004,5235.000000000002,494418,592384,4760.5913,5242406,23561544,158336,4760.5913,0,117378.60537992888,3544.9994546855883,128.0,592384,0.10205287,0.001,3.0,0.675000011920929,4.19288,3.6271486,54.625755,0.05,158336,1.0,8.2819395,0.10848367,494418,-0.19755831,3545.0372619511963,0.00010289932245916894,0.0001354025352672706,3.952414980611006e-05,0.00019107561045480728,2.537087703258825e-05,2.1033521049006536e-05,0.4286839130792999,2.2636507985388856e-05,0.0007028705409097115,0.00014300328342472236,0.0001224602294576522,6.471798014331747e-05,3.2416215254576837e-06,9.364411872664735e-06,1.5684039834960086e-05,6.740743976068021e-05,8.994252443519599e-06,9.182222433481635e-06,3.763879442315986e-05,5.403597378339978e-05,0.10812507115916815,0.0153354095749557,5.6404917594045394e-05,0.20427904551089743,0.08851062433850021,0.0028141731452196836,0.001209603832103312,1.2407296360470354e-05,0.007638439576490782
1,26264.0,False,4,fadeb_00000,2026-03-17_18-28-10,1773786490,47.00388193130493,232.9994945526123,1410570,dh-node1,10.199.0.21,232.9994945526123,4,65.7029505484869,2.775323333777487e-05,65.7022843652484,27.78707192651309,37.8745915987239,0.03335596292891377,168.21428571428575,-234.17499999999995,55.29999999999997,1.0352806889322832,0.4455357142857154,0.006079145637882636,120.94719031962852,26.210030430198703,39,0.0009856625490548198,0.003516461701821239,3.0,0.001152541349170701,147.0,1.8337270348233041,4709.999999999999,28.0,26264.0,308,120.94719031962852,0.0,1.8118335186921457,87.92919313417451,7,0,7,9.2859375,10.5546875,0.115625,0.019856770833333332,17333.999999999996,17550.999999999996,1.884821428571434,0.0013190506953360192,2774.999999999999,2652.0,0.0003435688722187711,-1.4392857142857167,1.884821428571434,94.71428571428572,99.10714285714288,34885.0,5427.0,494418,756992,4760.085387,6057060,29618604,164608,4760.085387,0,117949.37345441675,3542.7635835360156,128.0,756992,0.08855916,0.001,4.0,1.0125000476837158,3.7914426,3.3450346,60.417175,0.05,164608,1.0,8.410902,0.055786908,494418,-0.085640356,3542.79801966383,0.00010262318769610406,0.00013584026562272268,3.970731290589836e-05,0.0001919247171437818,2.5193520791643633e-05,2.1035255539734055e-05,0.4307410638399726,2.4392141631717465e-05,0.0007598087315930307,0.00015542635013167125,0.0001298824523181549,6.973599633352078e-05,3.5810737213869397e-06,1.0331503921827706e-05,1.7067295311471892e-05,7.314176887365516e-05,9.674440687922383e-06,9.886653336341521e-06,3.992370643813879e-05,5.777451435682018e-05,0.11060810799739254,0.015397981668181716,5.613343642000108e-05,0.20453323160766765,0.08775463790483215,0.002805278615038842,0.0012146339521277698,1.2382234628079458e-05,0.007659308270496549
1,31684.000000000007,False,5,fadeb_00000,2026-03-17_18-29-21,1773786561,70.40392398834229,303.4034185409546,1410570,dh-node1,10.199.0.21,303.4034185409546,5,65.74975916704207,2.7685451146345583e-05,65.74908844480562,27.81288880273786,37.89560204116785,0.03329747868869693,193.57142857142856,-279.8499999999999,51.62499999999996,1.075617551594645,-28.907142857142855,0.006751928248802601,141.04074664041136,26.33580343287031,47,0.0009761998855920166,0.0035638136952499725,4.0,0.001142794916214668,175.0,2.4934828038344032,5420.0,28.0,31684.000000000007,369,141.04074664041136,0.0,2.140112481902915,87.86419527748407,7,0,7,8.332291666666668,10.897916666666665,0.09385416666666664,0.019856770833333336,20545.0,21211.000000000007,-10.68482142857143,0.0013028839280398925,3660.0000000000005,3211.0000000000005,0.00034101162073282224,-18.22232142857143,-10.68482142857143,114.67857142857139,130.71428571428575,41756.0,6870.999999999999,494418,964864,4766.68453313,8802080,38420684,207872,4766.68453313,0,118300.50391886318,3513.1900760095245,128.0,964864,0.07894891,0.001,5.0,1.5187500715255737,5.6919975,5.1253133,115.86476,0.05,207872,1.0,8.640236,0.012554407,494418,-0.21460803,3513.223491360205,0.00010254740334422056,0.00013649895369290235,4.0315312656338024e-05,0.0001923074424115085,2.512584359132323e-05,2.1087859331741094e-05,0.4299492995102334,2.4486437430067732e-05,0.0007493643074162366,0.00015221657500856135,0.00012999803220596745,6.917155984193272e-05,3.5147349016694723e-06,1.0229190672782056e-05,1.7124821328337102e-05,7.23805647054158e-05,9.586705188821123e-06,9.806655239664304e-06,3.981009331933715e-05,5.775094780965177e-05,0.11063316885522209,0.015392599830486698,5.603942109729162e-05,0.20448068289158977,0.08700692365524365,0.00279843768772725,0.0012134885136014784,1.2344063690679613e-05,0.007659463327482191
1,36568.0,False,6,fadeb_00000,2026-03-17_18-30-49,1773786649,87.65938186645508,391.06280040740967,1410570,dh-node1,10.199.0.21,391.06280040740967,6,65.96868859263107,2.7583708561974204e-05,65.96801730294925,27.990927763898686,37.93662044179772,0.03318183620160869,232.57142857142853,-642.6750000000002,55.32499999999998,1.173933814436018,-76.55476190476189,0.009948059850483717,184.32099826002934,26.412399907253405,57,0.0009811117789197894,0.0036290684032108302,5.0,0.001139526452880766,196.0,4.497768591767888,4884.0,21.0,36568.0,837,184.32099826002934,0.0,2.7352187317473104,86.31431371842471,7,0,7,8.594166666666666,9.990000000000002,0.08466666666666667,0.019856770833333332,24189.0,25010.00000000001,-38.998809523809506,0.0012966219075918664,3799.0,3644.0000000000005,0.00033806629430511135,-37.5559523809524,-38.998809523809506,173.52380952380958,180.9047619047619,49199.000000000015,7443.000000000001,494418,1189504,4767.8576877987,8571420,46992104,224640,4767.8576877987,0,117260.44649590003,3465.2964715376606,128.0,1189504,0.0648381,0.001,6.0,2.278125047683716,6.987887,6.3770432,147.3535,0.05,224640,1.0,8.854233,0.10390431,494418,-0.26660472,3465.327646643663,0.0001037470095130971,0.00013777655875415223,4.116133576992695e-05,0.00019410782658132927,2.508943482573e-05,2.1213628994794097e-05,0.4334972407951056,2.5075836970949127e-05,0.0007417672646628252,0.00014930696995532747,0.00013537514262472214,7.0484444347554e-05,3.482746870986272e-06,1.0001016353874934e-05,1.7158370991426884e-05,7.269380060534714e-05,9.294290681150507e-06,9.782745868294311e-06,4.040153091780889e-05,5.8470579845413595e-05,0.11346254955631783,0.015448518112216135,5.666286593550899e-05,0.20583200107475128,0.0862794815978482,0.002793744351993216,0.0012157525879307883,1.2348463375283847e-05,0.007702673646035343
1,41131.999999999985,False,7,fadeb_00000,2026-03-17_18-31-42,1773786702,52.9381058216095,444.00090622901917,1410570,dh-node1,10.199.0.21,444.00090622901917,7,65.83824134504542,2.7435891077461103e-05,65.83757107712977,27.914137682958234,37.883063855740104,0.033055813918837065,163.0,-413.9999999999998,64.67499999999998,1.2395112819069911,-10.398214285714271,0.008554183117267576,133.0942515510698,26.55352130996489,33,0.000991477579945606,0.0036861974524138807,6.0,0.0011331803367441347,224.0,2.2079000345215074,4564.0,28.0,41131.999999999985,539,133.0942515510698,0.0,3.323060403918306,85.65727517074639,7,0,7,8.218055555555557,10.059722222222222,0.10583333333333335,0.019856770833333332,26911.0,28023.000000000015,-4.535714285714272,0.001313719430319615,3012.999999999999,2722.0,0.0003396481364743564,-5.862499999999999,-4.535714285714272,97.21428571428572,107.60714285714288,54934.000000000015,5735.0,494418,1363328,4765.819110920713,6197912,53190016,173824,4765.819110920713,0,117248.06752429277,3456.1121162378454,128.0,1363328,0.05422129,0.001,7.0,3.4171876907348633,5.538887,5.1267967,105.57684,0.05,173824,1.0,8.8179245,0.052013636,494418,-0.094717145,3456.142800083193,0.00010432773112944172,0.00013845575402251573,4.1857258785968894e-05,0.0001944165490542331,2.503458255166259e-05,2.1308304145106798e-05,0.43388565332628865,2.4479332440276795e-05,0.0007571572988967689,0.00015477262251434337,0.00013169576522579335,6.984584106781612e-05,3.4902156976007333e-06,1.0025661726096949e-05,1.6780652803203446e-05,7.327205457459646e-05,9.737712992886672e-06,9.801400678407445e-06,3.941247624264318e-05,5.774989681699137e-05,0.11382992571185176,0.015507943633244288,5.730693566839609e-05,0.20647988315332463,0.08555899851275747,0.0027949664576313506,0.001221698631797498,1.236945946914398e-05,0.007729575398254219
1,45556.00000000001,False,8,fadeb_00000,2026-03-17_18-32-40,1773786760,58.633251667022705,502.63415789604187,1410570,dh-node1,10.199.0.21,502.63415789604187,8,65.76605621230414,2.7432013853725632e-05,65.76538441028781,27.90074293360891,37.82436736268377,0.032949273350375265,158.0,-595.4000000000002,56.374999999999986,1.2520605672017806,-14.099107142857152,0.006529278784156447,125.14997639739481,26.680492397159384,29,0.0009957765424134352,0.00372248565293622,7.0,0.0011209996836582838,252.0,2.0619042666346235,4424.0,28.0,45556.00000000001,774,125.14997639739481,0.0,3.5564850719199144,85.10800064265673,7,0,7,8.092592592592593,10.107407407407406,0.09456790123456792,0.019856770833333332,29762.999999999993,30766.000000000004,-8.395535714285725,0.001325377297976165,2743.0,2851.999999999999,0.00034655983045052847,-5.7035714285714265,-8.395535714285725,101.85714285714288,97.96428571428572,60529.00000000003,5595.0,494418,1532928,4762.400919811505,5861800,59051816,169600,4762.400919811505,0,116381.50763629666,3427.8503167324807,128.0,1532928,0.044124156,0.001,8.0,5.125781536102295,4.954849,4.5667257,93.70854,0.05,169600,1.0,8.806927,0.06417954,494418,-0.0985577,3427.8797219305466,0.00010424580524479893,0.000138503210035107,4.1969253973757095e-05,0.00019351226590621703,2.4764095673230452e-05,2.1261748052904436e-05,0.4337725742947318,2.492817406254867e-05,0.0007618588259080536,0.0001561781505086868,0.00013025340364885996,6.961024589289043e-05,3.598236841462941e-06,1.0405318417423253e-05,1.7324170008134163e-05,7.313647222897101e-05,9.84843853077515e-06,9.851167781076726e-06,4.042637830777116e-05,5.8096262158118165e-05,0.11402400806456052,0.015570130936257932,5.788476448143827e-05,0.20682080931988928,0.0848399260490895,0.0027909348028838134,0.0012251778138910462,1.2374154676282594e-05,0.007739915214943087
1,50344.0,False,9,fadeb_00000,2026-03-17_18-33-59,1773786839,78.73122596740723,581.3653838634491,1410570,dh-node1,10.199.0.21,581.3653838634491,9,65.89555327287094,2.7331962795350423e-05,65.89488138170536,28.024515242600774,37.830158774785325,0.0328792460058252,228.0,-616.2750000000001,54.049999999999926,1.308682281293952,-47.82738095238095,0.007100331047910557,174.76896601240674,26.85206996278767,77,0.0010184371779399506,0.003773881073045462,8.0,0.0011136782976588267,273.0,3.3120269253849983,4788.0,21.0,50344.0,806,174.76896601240674,0.0,3.97448083757615,84.16063276059464,7,0,7,8.216822429906543,10.154205607476637,0.08476635514018692,0.01985677083333334,33115.99999999999,33976.0,-26.803571428571402,0.001346875237347632,3209.999999999999,3352.999999999999,0.00035084188718044126,-21.023809523809522,-26.803571428571402,159.66666666666666,152.85714285714283,67092.00000000003,6562.999999999998,494418,1731200,4762.65691061339,7416612,66468428,198272,4762.65691061339,0,115270.62618314296,3382.328437526314,128.0,1731200,0.04100441,0.001,9.0,7.688672065734863,6.679421,6.367914,141.99632,0.05,198272,1.0,9.079765,0.08534098,494418,-0.06769833,3382.3555740512984,0.00010442670011532402,0.00013940700812526622,4.227611498235425e-05,0.00019316906800885864,2.464565793323056e-05,2.1405922056734824e-05,0.43391492180354596,2.5205554952337637e-05,0.000774942698919843,0.00015701433966274462,0.00013449704731881206,7.239681057982611e-05,3.65775218439519e-06,1.0462797784312196e-05,1.7601016471031773e-05,7.44661673526574e-05,9.830299397111311e-06,1.0136041250852275e-05,4.1022020691319956e-05,5.949726402597881e-05,0.1140088090836458,0.015601616467816992,5.759629623046968e-05,0.20768025374728366,0.08411564839960517,0.002783666585250209,0.0012260621869988621,1.2325133139681168e-05,0.007741272071090861
1,54644.000000000015,False,10,fadeb_00000,2026-03-17_18-35-06,1773786906,67.02588605880737,648.3912699222565,1410570,dh-node1,10.199.0.21,648.3912699222565,10,65.9066717111106,2.728510356464042e-05,65.9059971976866,28.083117303336408,37.78266729972756,0.032858387955705705,204.7619047619047,-661.5000000000002,53.274999999999984,1.3752386086387989,-43.267857142857146,0.007531513882154059,185.76871850708164,26.75896048996577,73,0.0009865050879901687,0.003804377283045322,9.0,0.0011048884987851617,294.0,2.8490660392590574,4299.999999999999,21.0,54644.000000000015,865,185.76871850708164,0.0,4.61224537467168,82.92339734048196,7,0,7,9.307608695652172,10.375,0.08608695652173914,0.019856770833333332,36095.999999999985,36846.99999999999,-26.875,0.0013109685467050723,2871.0000000000005,2980.0,0.00033779704196741737,-16.39285714285716,-26.875,141.9047619047619,136.71428571428575,72943.00000000003,5851.0,494418,1908096,4758.030341507257,5942600,72411028,176896,4758.030341507257,0,113938.6341537721,3345.1260956774386,128.0,1908096,0.024591643,0.001,10.0,11.533008575439453,5.8083696,5.5641894,128.13297,0.05,176896,1.0,8.996943,0.06887144,494418,0.016589958,3345.1519624242483,0.00010430270145964751,0.00013969958681794262,4.230576197280362e-05,0.00019235834767257495,2.4497997288658556e-05,2.139866711880824e-05,0.4344450408939042,2.4141950456738414e-05,0.0007564365575957188,0.0001535467698814652,0.00013250468803044588,6.938810182525005e-05,3.5709786582478296e-06,1.0073577962925106e-05,1.6719984361007037e-05,7.259868806976464e-05,9.252147947025676e-06,9.804444231000346e-06,3.939836004795913e-05,5.7889842452152656e-05,0.11441543646284025,0.01566284214124757,5.8765773799687016e-05,0.20839216569924474,0.08342055079493615,0.0027819000387451303,0.0012279247855912253,1.2410879907253816e-05,0.007784748231299618
