iteration,steps,env_steps,internal_ticks,score_red
265,79,79,600,72.0
266,125,125,600,90.0
267,82,82,600,90.0
268,92,92,600,87.0
269,102,102,600,93.0
270,93,93,600,95.0
271,109,109,601,87.0
272,84,84,600,96.0
273,134,134,600,89.0
274,123,123,600,72.0
275,118,118,600,78.0
276,86,86,600,87.0
277,116,116,600,101.0
278,514,514,600,24.0
279,90,90,600,93.0
280,120,120,600,75.0
281,125,125,600,99.0
282,77,77,600,75.0
283,88,88,600,96.0
284,90,90,600,83.0
285,67,67,600,83.0
286,108,108,600,60.0
287,97,97,600,84.0
288,120,120,600,90.0
289,98,98,600,93.0
290,95,95,600,82.0
291,143,143,600,84.0
292,95,95,600,84.0
293,153,153,600,69.0
294,120,120,600,87.0
295,98,98,600,63.0
296,80,80,600,84.0
297,109,109,600,63.0
298,96,96,600,66.0
299,113,113,601,99.0
300,96,96,600,84.0
301,102,102,601,81.0
302,93,93,600,84.0
303,78,78,600,96.0
304,126,126,600,54.0
305,77,77,600,90.0
306,143,143,600,95.0
307,95,95,600,69.0
308,134,134,600,90.0
309,137,137,600,66.0
310,252,252,600,54.0
311,83,83,600,87.0
312,89,89,600,93.0
313,104,104,600,72.0
314,102,102,600,87.0
315,95,95,600,75.0
316,76,76,600,87.0
317,463,463,600,12.0
318,90,90,600,57.0
319,99,99,600,98.0
320,116,116,600,69.0
321,96,96,600,87.0
322,110,110,600,93.0
323,502,502,600,24.0
324,76,76,601,78.0
325,129,129,600,87.0
326,106,106,600,81.0
327,111,111,600,78.0
328,102,102,600,75.0
329,82,82,600,93.0
330,79,79,600,80.0
331,169,169,600,48.0
332,121,121,600,80.0
333,155,155,600,87.0
334,70,70,600,93.0
335,139,139,600,51.0
336,91,91,600,72.0
337,97,97,601,78.0
338,84,84,600,75.0
339,121,121,600,69.0
340,203,203,601,78.0
341,92,92,600,78.0
342,119,119,600,54.0
343,124,124,600,66.0
344,129,129,600,81.0
345,99,99,600,87.0
346,75,75,600,90.0
347,110,110,600,66.0
348,93,93,600,81.0
349,72,72,600,78.0
350,101,101,600,90.0
351,84,84,600,87.0
352,133,133,600,90.0
353,109,109,600,96.0
354,145,145,600,87.0
355,332,332,600,63.0
356,90,90,600,87.0
357,98,98,600,93.0
358,85,85,600,75.0
359,88,88,601,72.0
360,109,109,600,75.0
361,103,103,600,87.0
362,106,106,600,54.0
363,123,123,600,75.0
364,143,143,601,75.0
365,327,327,600,48.0
366,117,117,600,75.0
367,93,93,600,60.0
368,71,71,600,78.0
369,95,95,600,96.0
370,78,78,600,96.0
371,143,143,600,81.0
372,83,83,600,87.0
373,102,102,600,78.0
374,103,103,601,89.0
375,114,114,600,81.0
376,125,125,600,60.0
377,137,137,600,75.0
378,134,134,600,63.0
379,131,131,600,95.0
380,489,489,600,27.0
381,97,97,600,75.0
382,94,94,600,81.0
383,78,78,600,69.0
384,84,84,600,60.0
385,77,77,600,63.0
386,123,123,600,84.0
387,87,87,600,90.0
388,112,112,600,102.0
389,94,94,600,81.0
390,97,97,600,84.0
391,82,82,600,66.0
392,101,101,600,99.0
393,126,126,600,89.0
394,115,115,600,90.0
395,77,77,600,72.0
396,90,90,601,96.0
397,153,153,600,75.0
398,96,96,600,60.0
399,80,80,600,84.0
400,173,173,600,60.0
401,132,132,600,84.0
402,88,88,600,87.0
403,75,75,600,84.0
404,110,110,600,84.0
405,96,96,600,78.0
406,119,119,600,75.0
407,105,105,600,87.0
408,104,104,600,78.0
409,86,86,600,66.0
410,106,106,600,78.0
411,88,88,600,69.0
412,101,101,600,78.0
413,84,84,600,84.0
414,134,134,600,81.0
415,73,73,600,87.0
416,95,95,600,78.0
417,84,84,600,81.0
418,100,100,600,78.0
419,120,120,600,84.0
420,99,99,600,84.0
421,471,471,601,21.0
422,104,104,601,90.0
423,123,123,600,96.0
424,98,98,600,90.0
425,88,88,600,87.0
426,101,101,601,87.0
427,91,91,600,84.0
428,120,120,600,75.0
429,438,438,600,24.0
430,106,106,600,72.0
431,92,92,600,78.0
432,126,126,600,93.0
433,120,120,600,78.0
434,107,107,600,90.0
435,321,321,600,51.0
436,95,95,600,84.0
437,107,107,600,81.0
438,498,498,600,9.0
439,123,123,600,84.0
440,95,95,600,90.0
441,85,85,600,72.0
442,93,93,600,72.0
443,74,74,600,84.0
444,164,164,600,87.0
445,100,100,600,81.0
446,135,135,601,93.0
447,107,107,600,69.0
448,116,116,601,69.0
449,139,139,601,78.0
450,83,83,601,66.0
451,102,102,600,78.0
452,88,88,600,90.0
453,111,111,600,81.0
454,85,85,600,84.0
455,126,126,600,84.0
456,70,70,600,72.0
457,142,142,600,81.0
458,89,89,600,90.0
459,93,93,600,81.0
460,84,84,600,78.0
461,99,99,600,75.0
462,67,67,600,84.0
463,95,95,600,69.0
464,114,114,600,90.0
465,120,120,600,93.0
466,79,79,601,63.0
467,74,74,600,81.0
468,103,103,600,84.0
469,108,108,600,72.0
470,75,75,600,78.0
471,95,95,600,60.0
472,129,129,600,78.0
473,86,86,600,81.0
474,124,124,600,84.0
475,84,84,600,93.0
476,123,123,601,90.0
477,99,99,601,84.0
478,480,480,600,30.0
479,125,125,600,96.0
480,79,79,601,90.0
481,496,496,600,33.0
482,76,76,600,75.0
483,125,125,600,69.0
484,318,318,601,63.0
485,75,75,600,75.0
486,138,138,600,66.0
487,101,101,600,96.0
488,94,94,600,87.0
489,77,77,600,78.0
490,94,94,600,72.0
491,122,122,600,72.0
492,102,102,600,84.0
493,90,90,600,63.0
494,116,116,600,78.0
495,200,200,601,57.0
496,527,527,600,12.0
497,391,391,601,63.0
498,126,126,600,81.0
499,95,95,600,78.0
500,83,83,600,78.0
501,141,141,600,87.0
502,110,110,600,84.0
503,75,75,600,69.0
504,147,147,600,54.0
505,122,122,600,98.0
506,122,122,600,84.0
507,106,106,600,72.0
508,94,94,600,90.0
509,137,137,600,81.0
510,73,73,600,81.0
511,82,82,600,81.0
512,115,115,601,81.0
513,405,405,601,54.0
514,105,105,600,93.0
515,478,478,600,33.0
516,90,90,600,93.0
517,79,79,600,81.0
518,97,97,600,75.0
519,101,101,600,87.0
520,101,101,601,81.0
521,92,92,600,96.0
522,156,156,601,81.0
523,72,72,600,78.0
524,147,147,600,75.0
525,83,83,600,57.0
526,106,106,600,87.0
527,92,92,600,90.0
528,118,118,600,87.0
529,101,101,600,63.0
530,92,92,600,75.0
531,99,99,601,87.0
532,127,127,600,87.0
533,88,88,600,84.0
534,98,98,600,72.0
535,123,123,600,60.0
536,118,118,600,87.0
537,78,78,600,48.0
538,69,69,600,72.0
539,102,102,600,72.0
540,115,115,600,92.0
541,426,426,600,39.0
542,82,82,601,87.0
543,79,79,600,78.0
544,92,92,600,90.0
545,514,514,600,27.0
546,116,116,600,90.0
547,91,91,600,84.0
548,76,76,600,96.0
549,85,85,601,81.0
550,167,167,600,78.0
551,118,118,600,84.0
552,76,76,600,87.0
553,124,124,601,81.0
554,138,138,600,80.0
555,152,152,600,78.0
556,117,117,600,60.0
557,80,80,600,81.0
558,83,83,600,75.0
559,131,131,600,89.0
560,80,80,601,78.0
561,117,117,600,84.0
562,116,116,600,84.0
563,91,91,600,75.0
564,132,132,600,92.0
565,91,91,600,78.0
566,81,81,600,87.0
567,93,93,600,81.0
568,84,84,600,75.0
569,81,81,600,81.0
570,99,99,600,108.0
571,93,93,600,75.0
572,105,105,600,96.0
573,113,113,600,96.0
574,80,80,600,75.0
575,121,121,600,92.0
576,96,96,600,78.0
577,202,202,600,75.0
578,111,111,600,84.0
579,126,126,600,81.0
580,118,118,600,81.0
581,89,89,600,72.0
582,87,87,600,90.0
583,136,136,600,69.0
584,126,126,601,87.0
585,101,101,600,78.0
586,409,409,600,45.0
587,170,170,600,90.0
588,440,440,600,30.0
589,94,94,600,96.0
590,88,88,600,84.0
591,109,109,600,78.0
592,86,86,600,84.0
593,98,98,600,96.0
594,80,80,600,87.0
595,141,141,600,78.0
596,108,108,601,78.0
597,80,80,600,87.0
598,83,83,600,78.0
599,90,90,600,87.0
600,87,87,600,75.0
601,296,296,600,54.0
602,100,100,600,72.0
603,112,112,600,81.0
604,74,74,600,78.0
605,85,85,600,96.0
606,105,105,600,78.0
607,69,69,600,78.0
608,495,495,600,21.0
609,107,107,600,78.0
610,65,65,600,78.0
611,110,110,600,72.0
612,86,86,600,78.0
613,255,255,600,66.0
614,107,107,600,81.0
615,90,90,600,87.0
616,155,155,600,78.0
617,81,81,600,84.0
618,123,123,600,78.0
619,146,146,600,81.0
620,78,78,600,90.0
621,91,91,600,86.0
622,90,90,600,75.0
623,78,78,600,66.0
624,94,94,600,75.0
625,111,111,600,87.0
626,74,74,600,77.0
627,128,128,600,72.0
628,177,177,600,75.0
629,94,94,600,98.0
630,84,84,600,96.0
631,132,132,600,78.0
632,101,101,600,96.0
633,84,84,600,84.0
634,93,93,600,90.0
635,100,100,600,81.0
636,92,92,600,90.0
637,142,142,601,93.0
638,109,109,600,81.0
639,88,88,600,96.0
640,113,113,600,87.0
641,118,118,600,69.0
642,125,125,600,87.0
643,124,124,600,81.0
644,84,84,600,87.0
645,85,85,600,78.0
646,104,104,601,69.0
647,144,144,600,78.0
648,105,105,600,69.0
649,125,125,600,84.0
650,404,404,600,45.0
651,89,89,600,93.0
652,86,86,600,72.0
653,87,87,600,66.0
654,96,96,600,75.0
655,95,95,601,81.0
656,109,109,600,81.0
657,98,98,600,72.0
658,110,110,600,87.0
659,83,83,600,90.0
660,408,408,600,30.0
661,112,112,600,66.0
662,136,136,600,75.0
663,99,99,600,66.0
664,81,81,600,93.0
665,78,78,600,90.0
666,140,140,600,78.0
667,117,117,601,87.0
668,80,80,600,84.0
669,106,106,600,84.0
670,185,185,601,72.0
671,132,132,600,87.0
672,121,121,600,60.0
673,131,131,600,87.0
674,117,117,600,90.0
675,80,80,600,93.0
676,113,113,600,90.0
677,378,378,600,42.0
678,83,83,600,93.0
679,82,82,600,87.0
680,114,114,600,87.0
681,106,106,600,72.0
682,123,123,600,87.0
683,93,93,600,75.0
684,78,78,600,92.0
685,124,124,600,78.0
686,108,108,600,90.0
687,143,143,601,69.0
688,92,92,600,78.0
689,69,69,600,75.0
690,76,76,600,78.0
691,84,84,600,72.0
692,126,126,600,90.0
693,170,170,600,69.0
694,202,202,600,69.0
695,88,88,600,77.0
696,108,108,600,69.0
697,103,103,600,75.0
698,95,95,600,87.0
699,98,98,600,96.0
700,75,75,601,93.0
701,110,110,601,90.0
702,121,121,600,72.0
703,85,85,600,86.0
704,499,499,600,18.0
705,98,98,600,84.0
706,191,191,600,66.0
707,77,77,600,75.0
708,88,88,600,99.0
709,80,80,600,84.0
710,82,82,600,72.0
711,129,129,600,57.0
712,113,113,600,78.0
713,128,128,600,84.0
714,82,82,600,72.0
715,109,109,600,93.0
716,74,74,600,66.0
717,101,101,600,90.0
718,91,91,600,84.0
719,171,171,600,78.0
720,486,486,600,24.0
721,141,141,600,69.0
722,127,127,600,75.0
723,152,152,601,63.0
724,106,106,600,81.0
725,94,94,600,84.0
726,117,117,600,69.0
727,87,87,601,75.0
728,119,119,600,72.0
729,352,352,600,45.0
730,150,150,600,81.0
731,111,111,600,89.0
732,104,104,600,84.0
733,495,495,600,30.0
734,71,71,600,99.0
735,81,81,600,84.0
736,499,499,600,33.0
737,96,96,600,81.0
738,125,125,600,81.0
739,97,97,601,90.0
740,145,145,600,87.0
741,112,112,601,69.0
742,122,122,600,75.0
743,102,102,600,75.0
744,81,81,600,81.0
745,436,436,600,39.0
746,135,135,600,75.0
747,356,356,600,42.0
748,257,257,600,51.0
749,124,124,600,75.0
750,89,89,600,75.0
751,110,110,601,87.0
752,107,107,601,81.0
753,109,109,600,78.0
754,117,117,600,92.0
755,121,121,600,75.0
756,86,86,600,69.0
757,91,91,600,78.0
