num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/env_reset_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/episode_return_min,env_runners/rlmodule_inference_timer,env_runners/env_step_timer,env_runners/weights_seq_no,env_runners/episode_return_max,env_runners/time_between_sampling,env_runners/num_episodes,env_runners/blue_team_score_mean,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_len_min,env_runners/episode_len_max,env_runners/num_env_steps_sampled,env_runners/episode_len_mean,env_runners/num_env_steps_sampled_lifetime,env_runners/red_team_score_mean,env_runners/connector_pipeline_timer,env_runners/episode_duration_sec_mean,env_runners/episode_return_mean,env_runners/num_episodes_lifetime,env_runners/sample,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/module_episode_returns_mean/shared_policy,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/num_module_steps_sampled/shared_policy,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/agent_steps/red_robot_0,env_runners/agent_steps/red_robot_1,learners/shared_policy/total_loss,learners/shared_policy/num_trainable_parameters,learners/shared_policy/curr_kl_coeff,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/mean_kl_loss,learners/shared_policy/num_module_steps_trained,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/vf_loss,learners/shared_policy/vf_explained_var,learners/shared_policy/policy_loss,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/weights_seq_no,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/entropy,learners/shared_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping
1,12338.999999999996,False,1,b485f_00000,2026-03-15_21-25-29,1773624329,85.06898140907288,85.06898140907288,1224545,dh-node6,10.199.0.6,85.06898140907288,1,85.0551977630239,3.3325981348752975e-05,85.05468023288995,43.449863370042294,41.563368601957336,0.03381346585229039,0.002910972622633355,157.39534265581935,-5.75,0.0013595812203629988,0.013535756697508857,0.0,53.0,0.36689009280403895,28.0,0.0,157.39534265581935,39,719,5500.999999999998,196.46428571428575,12338.999999999996,27.352851071428574,0.0013331895484349474,3.0322932374214626,14.910714285714283,70.0,0.9388918831018971,nan,7,0,7,9.976068376068374,11.952136752136749,0.09401709401709402,0.012556201032763531,0.0016824592791416378,5.88392857142857,17280.0,3836.9999999999995,3896.000000000001,7733.000000000001,8535.0,8745.0,0.00036688128031936055,9.026785714285712,5.88392857142857,137.03571428571425,139.14285714285714,1.6511632,494418,0.30000001192092896,0.05,0.09008342,233728,10.150573,2.0955513,0.06799233,-0.06258563,128.0,1.0,233728,1.0,0.001,7.9963837,nan,0,10044826,5501,233728,5501,233728,494418,10044826,nan,nan,0.0001261832312668308,1.919264327550939e-05,0.0001559849385487448,2.3565706132428855e-05,0.00016625241697917223,4.543231270402404e-05,0.9299464079085737,7.504176270887868e-05,3.5978267091747165e-06,0.00017901150604860525,1.2371875696384445e-05,2.7525029326492933e-05,0.00104990817878351,0.00014744542649390834,7.746521504364488e-05,1.8895585091839484e-05,4.240640057452592e-05,9.591950260593481e-06,6.116634751429898e-05,9.95724460123417e-06,1.7369166016578674e-05,0.004058847902342677,0.11400747299194336,6.645894609391689e-05,0.3193781520240009,0.025297822896391153,0.00149639998562634,0.4520949150901288,0.012348541989922523
1,16541.999999999993,False,2,b485f_00000,2026-03-15_21-26-17,1773624377,47.66240215301514,132.731383562088,1224545,dh-node6,10.199.0.6,132.731383562088,2,84.68115980953444,3.321127267554403e-05,84.68064111468149,43.218920926151334,41.42036346461857,0.033737714313901955,0.0029454431424567203,155.06594702180223,-8.25,0.0009169995047978293,0.0058207490142424415,1.0,56.0,1.068565665017469,21.0,0.0,155.06594702180223,69,675,4203.000000000001,200.1428571428572,16541.999999999993,27.35293486519857,0.001314671371058043,2.248360095368255,22.559523809523803,91.0,1.0099619630088528,67.79356595707394,7,0,7,9.567692307692308,12.099999999999998,0.10800000000000001,0.018815104166666666,0.0012152761780571033,9.190476190476188,22497.0,2457.0,2760.0000000000005,5217.0,10992.0,11505.0,0.00032192547165692703,13.369047619047619,9.190476190476188,117.0,131.4285714285714,1.527293,494418,0.45000001788139343,0.05,0.11278784,157824,25.0216,2.017818,0.062158823,-0.108970106,128.0,1.0,391552,2.0,0.001,8.307825,nan,0,15227125,5488.0199999999995,391552,5488.0199999999995,157824,494418,5182299,nan,nan,0.00012520136541224674,1.9231689324286924e-05,0.00015532428065940366,2.3494458414428e-05,0.0001656489962819595,4.539201491380839e-05,0.9234501596004702,6.435425536743061e-05,3.420793979581268e-06,0.00012065571835802935,1.0037275020096817e-05,2.358388613726916e-05,0.0007004976529627441,0.0001381444823107553,6.782156200907514e-05,1.6407206840152672e-05,3.766368726464845e-05,9.09767007358248e-06,5.475659036100167e-05,9.175650997822587e-06,1.7304234206676482e-05,0.004033892592415213,0.11297124492237344,6.61068083718419e-05,0.3177192749944515,0.02523085878929123,0.0014932325948029757,0.44845652010757475,0.01228836165042594
1,22463.999999999985,False,3,b485f_00000,2026-03-15_21-28-09,1773624489,112.38498783111572,245.11637139320374,1224545,dh-node6,10.199.0.6,245.11637139320374,3,84.95806612844974,3.317064063157886e-05,84.9575456782736,43.3953429223289,41.52089782122297,0.03367893978110514,0.0029943819338956253,234.13094665178318,-3.0,0.0009191013273517733,0.010968338060158792,2.0,60.0,1.489013312145262,21.0,0.0,234.13094665178318,66,773,5922.0,282.0,22463.999999999985,27.399531775338737,0.0012985960177830924,6.000143809920356,16.190476190476197,112.0,1.1113044474517848,67.76095122842233,7,0,7,10.190909090909091,12.099999999999998,0.08603896103896103,0.020590672348484846,0.001212813428930506,7.952380952380951,31975.00000000001,4814.000000000001,4664.000000000001,9478.0,15806.000000000005,16169.000000000005,0.0003211311287391275,8.238095238095239,7.952380952380951,229.23809523809533,222.0952380952381,0.17384312,494418,0.675000011920929,0.05,0.082172334,285696,3.2670684,0.588705,0.29575783,-0.018577576,128.0,1.0,677248,3.0,0.001,8.665237,2541.6568696850863,0,28445029,5492.3598,677248,5492.3598,285696,494418,13217904,117591.5175108536,2541.6599687747052,0.00012420254006773534,1.9218691076130713e-05,0.00015481915479041364,2.341747252015408e-05,0.00016546786821745413,4.5245118779415426e-05,0.9234729681653668,6.685938602930236e-05,3.3682700791961406e-06,0.00012786970225892413,9.823218228322373e-06,2.446757123622056e-05,0.0006943306508431112,0.00013463581404054705,6.845433374951903e-05,1.6602387821239235e-05,3.880594116859111e-05,8.879023298603673e-06,5.573555233560087e-05,9.320016324605129e-06,1.7278431635349987e-05,0.004022919047251343,0.11205550652386155,6.611130065284669e-05,0.31830333959448615,0.02525859206134919,0.0014909037478268148,0.44877860767641103,0.012312707895389756
1,26704.99999999998,False,4,b485f_00000,2026-03-15_21-29-00,1773624540,50.38389468193054,295.5002660751343,1224545,dh-node6,10.199.0.6,295.5002660751343,4,84.61217182785646,3.359744523954578e-05,84.61164470698107,43.16663758200515,41.403769883132355,0.033607499083634924,0.003021458872297763,163.07451335181244,-5.75,0.000887813815716909,0.005965471107874442,3.0,55.25,2.252162790044475,21.0,0.0,163.07451335181244,75,691,4240.999999999999,201.9523809523809,26704.99999999998,27.345703663031784,0.0012848974727697861,2.1774119481754797,18.928571428571427,133.0,1.1777733952753546,67.31467409498697,7,0,7,10.410294117647057,12.1,0.1136764705882353,0.022721354166666666,0.001179170344490977,11.630952380952381,37381.00000000002,2741.9999999999995,2663.999999999999,5406.000000000001,18548.000000000007,18833.000000000004,0.00031114840937484795,7.297619047619049,11.630952380952381,130.5714285714286,126.85714285714288,1.4107958,494418,1.0125000476837158,0.05,0.08229461,163456,16.417538,2.0193112,0.12614566,-0.2343044,128.0,1.0,840704,4.0,0.001,8.595194,2576.6530858928045,0,33860786,5479.846202,840704,5479.846202,163456,494418,5415757,117082.06736984245,2576.6558808793743,0.00012378386099436844,1.928393973013796e-05,0.00015452738525802964,2.329693090380243e-05,0.0001652575208384458,4.535119939545722e-05,0.9170228828536804,6.251577507928047e-05,3.257228356059403e-06,0.0001200514027552962,9.679081016559702e-06,2.2960210524267934e-05,0.000679049618273478,0.00013287072856829477,6.605519233159597e-05,1.6003547323925405e-05,3.697781163986747e-05,8.633012543259353e-06,5.3520020869007696e-05,8.900398746709587e-06,1.7201687631197273e-05,0.004000654186815023,0.11104132130698603,6.58998069022782e-05,0.31666387001942864,0.025133161260288906,0.0014849171997085215,0.4452027486784975,0.012254306845958575
1,31167.999999999985,False,5,b485f_00000,2026-03-15_21-30-01,1773624601,61.142333984375,356.6426000595093,1224545,dh-node6,10.199.0.6,356.6426000595093,5,84.37734275583975,3.3461730752063444e-05,84.37681503446134,43.025350421654686,41.31024673844957,0.033555443673375145,0.0030417095129627813,122.99031717306914,-9.5,0.0009244438419509386,0.007327577783735728,4.0,54.0,2.6358320056340903,28.0,0.0,122.99031717306914,36,526,4463.0,159.39285714285717,31167.999999999985,27.400179699736267,0.0012681107833342204,2.1438675961606863,20.875,161.0,1.2113636742112608,67.73601973021471,7,0,7,10.823809523809524,12.099999999999998,0.10047619047619047,0.022721354166666662,0.0012248100367773262,12.26785714285714,43066.000000000044,2956.999999999999,2728.0000000000005,5685.000000000002,21505.000000000007,21560.999999999993,0.00032584735819126906,8.60714285714286,12.26785714285714,105.60714285714288,97.4285714285714,1.9095645,494418,1.5187500715255737,0.05,0.07295376,172288,18.656672,2.4650378,0.14264423,-0.19042891,128.0,1.0,1012992,5.0,0.001,8.778202,2588.647637640814,0,39867984,5469.677739979999,1012992,5469.677739979999,172288,494418,6007198,116138.25124607774,2588.6507858168106,0.00012251725627383716,1.9228742802585875e-05,0.00015353504694386134,2.3117257178694067e-05,0.00016673815346475782,4.519278670477886e-05,0.9120505543855938,6.479163907285259e-05,3.4773733411782015e-06,0.00012246539727268536,1.0055540950659744e-05,2.4207975511916658e-05,0.0007045233898378135,0.00013961292821245815,6.849000358023172e-05,1.668625212636367e-05,3.886274505952858e-05,9.157439420146556e-06,5.521666430720614e-05,9.290065825966611e-06,1.7148100061779838e-05,0.003979826815432458,0.11006416342289924,6.559844834343995e-05,0.31585853284053933,0.025116348928179277,0.0014883934268531951,0.44207967591165087,0.012228925907322108
1,35878.999999999985,False,6,b485f_00000,2026-03-15_21-31-19,1773624679,78.00660872459412,434.6492087841034,1224545,dh-node6,10.199.0.6,434.6492087841034,6,84.31351771886159,3.3358393436109946e-05,84.31298870618596,42.98063378096727,41.29119585262338,0.033495173276894996,0.0030850534092368067,188.80420033738756,0.0,0.0009436053610548134,0.009269786554595752,5.0,36.75,3.076914329810672,21.0,0.0,188.80420033738756,53,805,4711.0,224.3333333333334,35878.999999999985,27.478126697425008,0.0012508347173908613,3.7428095188501866,18.119047619047624,182.0,1.2748969032310917,67.67170831297977,7,0,7,10.151401869158878,12.099999999999994,0.0881308411214953,0.022721354166666666,0.0012359741781082841,8.428571428571429,50024.00000000006,3361.000000000001,3596.9999999999995,6957.999999999998,24866.000000000004,25157.999999999993,0.00032851749266804206,9.690476190476188,8.428571428571429,160.0476190476191,171.28571428571425,0.9718958,494418,2.278125047683716,0.05,0.063330896,210048,14.068981,1.5173409,0.07620478,-0.19077605,128.0,1.0,1223040,6.0,0.001,9.017057,2593.4406876909675,0,47598735,5462.090962580199,1223040,5462.090962580199,210048,494418,7730751,115271.48271529618,2593.4441470396764,0.00012149150047654838,1.920232672368565e-05,0.0001527438402878298,2.304744267525632e-05,0.0001667814012710781,4.4988778103322887e-05,0.9096477962822995,6.590427400469922e-05,3.508332869159783e-06,0.0001252900252454049,1.0055892887587192e-05,2.4238844350788788e-05,0.0007114757914372585,0.00013926574413343387,6.981517300205148e-05,1.7207227065109035e-05,3.916975850049673e-05,9.111824798442105e-06,5.6230825208929986e-05,9.487743105287727e-06,1.7121488615949914e-05,0.003959445225975004,0.10909316463845832,6.592799406507652e-05,0.31541138088226595,0.025033269000481837,0.001484887660713094,0.441213590492064,0.012224105708017952
1,40406.999999999985,False,7,b485f_00000,2026-03-15_21-32-20,1773624740,60.32039451599121,494.9696033000946,1224545,dh-node6,10.199.0.6,494.9696033000946,7,84.07345627182275,3.32106572498198e-05,84.07292607567393,42.8280259178372,41.20383427968732,0.033410212264893574,0.003114288122240633,172.6016008327999,-10.75,0.0008980382129931507,0.00616611816531333,6.0,50.5,3.629922440018236,21.0,0.0,172.6016008327999,46,718,4528.0,215.61904761904765,40406.999999999985,27.498653570670502,0.0012350114495926702,2.564375535618247,17.297619047619044,203.0,1.3279235481010454,67.65718643815903,7,0,7,10.432926829268293,12.104878048780487,0.09841463414634147,0.022721354166666662,0.0011930578900783868,9.904761904761902,56021.000000000065,3398.999999999999,2598.0,5996.999999999999,28265.000000000004,27755.999999999985,0.00031619313612534704,7.3928571428571415,9.904761904761902,161.85714285714283,123.71428571428574,0.91805613,494418,3.4171876907348633,0.05,0.04278092,181248,10.627531,1.3273875,0.21297282,-0.05313178,128.0,1.0,1404288,7.0,0.001,9.073196,2613.928097993944,0,54010383,5452.750052954397,1404288,5452.750052954397,181248,494418,6411648,114819.72252914145,2613.9301442857445,0.00012082487556437402,1.9123672895897788e-05,0.0001520131959182653,2.2904430548618967e-05,0.00016596048428215902,4.4789676404432107e-05,0.9047990572503389,6.350469746205647e-05,3.3055282330766817e-06,0.0001208636996423086,9.82991568161007e-06,2.3159365685489786e-05,0.0006866687877754733,0.00013506844470321925,6.653914690148096e-05,1.6267519040072968e-05,3.7686904763471674e-05,8.862053577301435e-06,5.411093246683626e-05,9.055414447657846e-06,1.7055895022977554e-05,0.0039393767850257715,0.10813751389410554,6.558817406566392e-05,0.3146211912852657,0.02505236185210517,0.0014843873334086306,0.4381453279375587,0.012198093870281286
1,45185.999999999985,False,8,b485f_00000,2026-03-15_21-33-33,1773624813,72.98621153831482,567.9558148384094,1224545,dh-node6,10.199.0.6,567.9558148384094,8,83.96245954606523,3.303468225034301e-05,83.96192901887807,42.78492638149011,41.13608050660233,0.03328816262302795,0.0031644910736244552,192.93234744416455,-2.75,0.0009059583077474676,0.006846700719409013,7.0,51.75,4.16932470779829,21.0,0.0,192.93234744416455,48,812,4779.0,227.57142857142853,45185.999999999985,27.51101163239659,0.0012234712513893194,3.1958943016472308,21.84523809523809,224.0,1.3945256194859337,67.63266156813947,7,0,7,10.081999999999999,12.112999999999998,0.08959999999999999,0.02272135416666667,0.0012045289406701417,10.726190476190478,62461.000000000065,3188.999999999999,3251.0,6440.000000000002,31453.999999999996,31006.999999999993,0.00031850311914176263,11.119047619047619,10.726190476190478,151.85714285714283,154.80952380952382,1.1962019,494418,5.125781536102295,0.05,0.039852593,194560,15.031628,1.7670506,0.1641441,-0.252705,128.0,1.0,1598848,8.0,0.001,9.08655,2616.446108452991,0,61274463,5446.012552424852,1598848,5446.012552424852,194560,494418,7264080,114052.31252906677,2616.4462544380294,0.0001205602700148606,1.912485194758277e-05,0.00015222081231854221,2.2838269383376775e-05,0.00016578833839621837,4.478005836898873e-05,0.8992076628278985,6.421867527427476e-05,3.3803873035844693e-06,0.00012077918424831778,9.796267289922979e-06,2.3640044649883706e-05,0.0006930920467988315,0.00013566371280032365,6.756562457029696e-05,1.6188652847212232e-05,3.760931607852184e-05,9.433559896573135e-06,5.4218055776097874e-05,9.157098112481083e-06,1.695962534621842e-05,0.003921765327389407,0.10718037204571758,6.52204621560448e-05,0.31333256999188774,0.025052713633963417,0.0014819101293270592,0.43487320884902486,0.012151763400512801
1,49918.99999999998,False,9,b485f_00000,2026-03-15_21-34-45,1773624885,72.07946729660034,640.0352821350098,1224545,dh-node6,10.199.0.6,640.0352821350098,9,83.84347275471372,3.290561519097191e-05,83.84294083576023,42.707674873726205,41.09436601655682,0.03324741810833483,0.0032129828233274783,179.83690255086688,-2.0,0.000920339102716103,0.009284962443571994,8.0,54.75,4.610780597790419,21.0,0.0,179.83690255086688,46,578,4733.0,225.38095238095235,49918.99999999998,27.656679266378962,0.0012119325779790155,3.6933275332142212,20.630952380952387,245.0,1.458077680908326,67.65298691715203,7,0,7,10.003061224489796,12.119387755102034,0.101734693877551,0.022721354166666666,0.0012108596090832815,12.535714285714285,69289.00000000006,3655.000000000001,3173.0,6827.999999999999,35108.99999999999,34180.0,0.0003205124881228748,8.095238095238098,12.535714285714285,174.0476190476191,151.0952380952381,1.1439195,494418,7.688672065734863,0.05,0.028814279,206208,9.721662,1.3499966,0.07591665,0.10802049,128.0,1.0,1805056,9.0,0.001,9.235865,2628.6284329471328,0,68899326,5438.882426900604,1805056,5438.882426900604,206208,494418,7624863,113637.6614577071,2628.630415635248,0.00012008333498275968,1.9112926342291254e-05,0.00015188748589084475,2.2756759155674688e-05,0.00016583326125866287,4.474490760541665e-05,0.8971680231897242,6.547023374144153e-05,3.362353730301837e-06,0.0001261319131794628,9.829972568334177e-06,2.3860523623091547e-05,0.0006942835118941519,0.00013578192457785966,6.828662847588329e-05,1.6520829893047794e-05,3.8578370848056815e-05,8.963441492517785e-06,5.5898508928360784e-05,9.179689463013298e-06,1.6929559840885127e-05,0.00390097507403395,0.10625357746667576,6.528112675769158e-05,0.3129722099117751,0.02503165267561258,0.0014793874872057096,0.4341718314108458,0.012150580587329554
1,54075.999999999985,False,10,b485f_00000,2026-03-15_21-35-42,1773624942,57.15185189247131,697.1871340274811,1224545,dh-node6,10.199.0.6,697.1871340274811,10,83.57641909024603,3.287445886269801e-05,83.57588194907237,42.55820027240003,40.97666537219092,0.03331542622698911,0.003274162190185785,152.81542135751764,-9.0,0.0009015691472487872,0.007461893147632658,9.0,56.0,5.067456659415479,21.0,0.0,152.81542135751764,40,701,4156.999999999999,197.9523809523809,54075.999999999985,27.606342997393003,0.0012045795138446145,2.6987498233848735,16.476190476190478,266.0,1.4988995394875866,67.47628818334752,7,0,7,9.81153846153846,12.138461538461542,0.09500000000000001,0.022721354166666662,0.0011959479434641921,6.8690476190476195,74719.00000000006,2682.0,2747.999999999999,5429.999999999999,37790.99999999999,36927.999999999985,0.00031527645502514454,9.60714285714286,6.8690476190476195,127.71428571428574,130.85714285714286,1.4012845,494418,11.533008575439453,0.05,0.026876096,164224,20.713531,1.8906362,0.05105245,-0.23690349,128.0,1.0,1969280,10.0,0.001,9.181795,2640.7892880290365,0,74232757,5426.063602631597,1969280,5426.063602631597,164224,494418,5333431,112619.24012169162,2640.7919768631855,0.00012040669274085642,1.9229872479319242e-05,0.00015211617797584401,2.2839795721657306e-05,0.0001664693863983813,4.485057728259309e-05,0.8911747611059497,6.397041017167814e-05,3.3188711474559944e-06,0.00012160037185917023,9.838140823344088e-06,2.3636926599086822e-05,0.0006861301147049068,0.00013512777557592973,6.693999515962799e-05,1.6096537563385932e-05,3.732474143938066e-05,8.733505358096125e-06,5.389578197819728e-05,9.002820570284946e-06,1.6851864474302582e-05,0.0038797419638913412,0.1052979676330814,6.50387167524576e-05,0.3114344745121528,0.02502149688790577,0.001478367833631006,0.43076712405692513,0.012095252761499252
