num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_mean,env_runners/red_team_score_mean,env_runners/connector_pipeline_timer,env_runners/sample,env_runners/episode_return_min,env_runners/env_step_timer,env_runners/episode_duration_sec_mean,env_runners/time_between_sampling,env_runners/episode_len_mean,env_runners/episode_len_min,env_runners/num_episodes,env_runners/blue_team_score_mean,env_runners/rlmodule_inference_timer,env_runners/weights_seq_no,env_runners/env_to_module_sum_episodes_length_out,env_runners/env_reset_timer,env_runners/num_episodes_lifetime,env_runners/episode_return_max,env_runners/env_to_module_sum_episodes_length_in,env_runners/episode_len_max,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled/shared_policy,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/module_episode_returns_mean/shared_policy,env_runners/agent_steps/red_robot_0,env_runners/agent_steps/red_robot_1,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/num_module_steps_sampled_lifetime/shared_policy,learners/shared_policy/mean_kl_loss,learners/shared_policy/vf_explained_var,learners/shared_policy/num_trainable_parameters,learners/shared_policy/entropy,learners/shared_policy/curr_kl_coeff,learners/shared_policy/vf_loss,learners/shared_policy/num_module_steps_trained,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/policy_loss,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/total_loss,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/weights_seq_no,learners/shared_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/get_actions,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor
1,12232.0,False,1,fadff_00000,2026-03-17_18-25-35,1773786335,76.97621130943298,76.97621130943298,3397281,dh-node10,10.199.0.10,76.97621130943298,1,76.96122765168548,2.6501715183258057e-05,76.96067314222455,41.47774692252278,35.444718949496746,0.032248079776763916,12232.0,-57.04196428571426,37.081069928571424,0.0012071819374864653,2.429263595012641,-652.9000000000003,0.02440861719030068,4.086047878222806,0.9412161817060519,197.3928571428572,61,28.0,0.0,0.0011723434573851412,0.0,152.45536609237683,0.006899236745932805,70.0,63.34999999999998,152.45536609237683,856,5526.999999999999,nan,7,0,7,7.69245283018868,17.701886792452832,0.10235849056603775,0.012345224056603774,0.0003995773742289297,8114.999999999999,4013.0,4102.0,-28.816964285714274,143.3214285714286,146.5,0.0016766553756801437,8912.0,8033.0,-28.816964285714274,-28.22500000000001,16944.999999999996,0.023268588,0.075047076,499283,1.9513109,0.30000001192092896,6.9446077,245248,1.0,-0.12952843,0.001,0.05,6.7221675,150.97357,245248,128.0,1.0,nan,245248,499283,10589732,5527,10589732,5527,245248,0,nan,nan,1.8614741666375526e-05,0.00015603125438027615,0.0001396653732179797,9.817946348219577e-05,7.604139520733483e-05,2.2033614893576927e-05,0.493275236338377,1.0283890063221336e-05,8.874726809128914e-05,6.58366566539957e-05,4.678818003510712e-05,2.0658485772413828e-05,1.1260235461217803e-05,2.0600173145898375e-05,4.3028381795298056e-05,0.00011881719473786331,3.8970230097679735e-06,0.00016262611305944532,9.031392064737032e-06,0.0011282272563268706,0.133773785084486,0.14852986112236977,0.008910045027732849,0.020418398082256317,1.5072524547576904e-05,0.0015813708305358887,5.58607280254364e-05,0.17561188340187073,0.0035003572702407837
1,16540.999999999996,False,2,fadff_00000,2026-03-17_18-26-40,1773786400,65.40174269676208,142.37795400619507,3397281,dh-node10,10.199.0.10,142.37795400619507,2,76.8455158964172,2.647053450345993e-05,76.84495963513851,41.474887050949036,35.3320183301717,0.032104736976325515,16540.999999999996,-39.579761904761924,36.718794237021044,0.001188554805181464,2.5114889427352103,-666.8750000000005,0.013833459723141156,4.144708259119874,1.5895149504614854,205.19047619047618,47,21.0,0.0,0.0008493064727321127,1.0,172.6960919921775,0.0069756014593374905,91.0,48.04999999999999,172.6960919921775,867,4309.0,56.13735596667023,7,0,7,7.398876404494382,17.800000000000004,0.08853932584269664,0.019075520833333335,0.0003366738445069468,5902.000000000001,2945.000000000001,2957.0,-17.847619047619073,140.23809523809524,140.80952380952382,0.0006808612125057795,11869.000000000002,10978.000000000002,-17.847619047619073,-21.732142857142872,22847.0,0.039753594,0.2220574,499283,1.9341495,0.45000001788139343,6.9936852,178432,1.0,-0.016743388,0.001,0.05,6.8921604,112.83916,423680,128.0,2.0,nan,423680,499283,6006746,5514.82,16596478,5514.82,178432,0,nan,nan,1.84901854428313e-05,0.0001557816306746593,0.0001390665417233638,9.782691309840797e-05,7.468097619230781e-05,2.184040503358165e-05,0.49094683766365055,9.150569685478343e-06,7.419647678478501e-05,5.903856092695115e-05,4.00725556744206e-05,1.7787146009238077e-05,9.701330953099392e-06,1.6587839255629774e-05,3.601265871885087e-05,5.05318941242154e-05,3.4278945524171463e-06,9.426195074695134e-05,8.09484047565099e-06,0.0003226975446832786,0.1333815548941493,0.14718705628067255,0.008890262320637702,0.020347966440021993,1.5104860067367553e-05,0.0015773217752575873,5.578964948654175e-05,0.17513221595436335,0.0034854559972882274
1,21436.999999999993,False,3,fadff_00000,2026-03-17_18-27-56,1773786476,75.16156268119812,217.5395166873932,3397281,dh-node10,10.199.0.10,217.5395166873932,3,76.82856591141932,2.6429458335042e-05,76.8280090080589,41.5018548971761,35.288180857641244,0.032021494071558125,21436.999999999993,-33.231249999999996,36.62473062993525,0.0011719401924349612,2.5340448974319663,-660.2250000000001,0.015513839132042509,3.768655095382462,1.9800170514817315,174.8571428571428,39,28.0,0.0,0.0008406011845280992,2.0,150.1071428454712,0.007014603599584332,119.0,58.849999999999895,150.1071428454712,858,4896.000000000001,56.908980789399116,7,0,7,7.977669902912621,17.8,0.09281553398058252,0.01944718345469256,0.0003336802723870546,6977.0,3724.0,3253.0000000000005,-11.804464285714282,133.0,116.17857142857139,0.0006644598649998143,15122.000000000004,14702.000000000004,-11.804464285714282,-21.4267857142857,29824.000000000007,0.047286537,0.70838314,499283,1.89937,0.675000011920929,3.1822538,211072,1.0,0.009369471,0.001,0.05,3.1179335,43.77166,634752,128.0,3.0,2807.4862827778616,634752,499283,8073504,5508.6318,24669982,5508.6318,211072,0,107386.35346630678,2807.4885686690945,1.8590180749600115e-05,0.00015547686876365958,0.00013881293865484784,9.732367265075952e-05,7.338911973206049e-05,2.1732187917032773e-05,0.4882001633107662,9.172080533348956e-06,7.281975814783533e-05,5.788612937215162e-05,4.005348306268078e-05,1.7595735846404385e-05,1.0111413648793231e-05,1.64370505749226e-05,3.5698524915098485e-05,4.9932368086264846e-05,3.598753296179793e-06,9.285917492361569e-05,8.11065648731959e-06,0.00030862102096709945,0.13284288106448947,0.1458486916657537,0.008854889511317013,0.020260988114401697,1.5043069422245025e-05,0.0015721511062234638,5.54439827799797e-05,0.17441255780868234,0.0034697967778891327
1,26868.99999999999,False,4,fadff_00000,2026-03-17_18-29-31,1773786571,95.27307367324829,312.8125903606415,3397281,dh-node10,10.199.0.10,312.8125903606415,4,77.0128955314134,2.6373370226472617e-05,77.01233938274493,41.62841126400086,35.34607888203891,0.031896518503393985,26868.99999999999,-112.67499999999997,36.40973292537243,0.0011591674967264408,2.6255529045969963,-638.5000000000003,0.015408300102851,5.797105815261602,2.5624103481692266,258.66666666666663,52,21.0,0.0,0.0008552142660510018,3.0,220.91602963729497,0.007104318528017016,140.0,72.17499999999998,220.91602963729497,829,5432.000000000002,57.25234790027355,7,0,7,7.484615384615385,17.8,0.09653846153846156,0.02099659455128205,0.00033429028480572815,8905.0,4251.0,4654.0,-58.55714285714284,202.42857142857144,221.61904761904765,0.0006644836166265897,19776.000000000007,18953.000000000007,-58.55714285714284,-54.11785714285714,38729.0,0.030285023,0.5560727,499283,2.0198185,1.0125000476837158,2.628821,268416,1.0,-0.014069099,0.001,0.05,2.5342035,38.533516,903168,128.0,4.0,2807.9291873834773,903168,499283,11390904,5507.865482,36060886,5507.865482,268416,0,107992.96641839287,2807.9313059858487,1.8710850880567826e-05,0.00015595875436209017,0.00013915100407884084,9.715928647275731e-05,7.23151579588461e-05,2.1686908684735884e-05,0.4872563241534829,9.210144197745685e-06,7.243547246071891e-05,5.826168844661918e-05,4.077286115942331e-05,1.7711024546853266e-05,9.63105518546468e-06,1.7042124914935313e-05,3.683419651178138e-05,5.1542446183446556e-05,3.447810891198839e-06,9.262666680058169e-05,8.100397362034507e-06,0.00030602304502863945,0.13294556193557006,0.1446006003162153,0.008867159116126594,0.02033372803652659,1.4999256536364554e-05,0.001570066355574876,5.534454990923404e-05,0.17453755320096392,0.003468031307671219
1,31343.999999999978,False,5,fadff_00000,2026-03-17_18-30-45,1773786645,73.7086193561554,386.5212097167969,3397281,dh-node10,10.199.0.10,386.5212097167969,5,76.97973138323712,2.6304282942302526e-05,76.97917375592722,41.6571501909775,35.28431336420388,0.031762421929755404,31343.999999999978,-53.57023809523809,36.04993644775594,0.0011502039377541827,2.7072351290926067,-657.9500000000003,0.013648668133150558,4.248841115051791,3.3045969046565706,213.0952380952381,37,21.0,0.0,0.0008486775229222534,4.0,207.3795826830086,0.007167640298282117,161.0,48.4,207.3795826830086,852,4475.000000000001,57.0020474271408,7,0,7,7.409,17.8,0.08969999999999999,0.022330729166666674,0.000335460148328951,6348.000000000002,3337.0,3010.9999999999995,-25.064285714285727,158.9047619047619,143.38095238095235,0.0006717951562581108,22787.000000000007,22290.00000000002,-25.064285714285727,-28.505952380952394,45077.00000000001,0.022471055,0.80477536,499283,1.9149573,1.5187500715255737,2.3981998,191744,1.0,-0.032062426,0.001,0.05,2.2931418,20.093433,1094912,128.0,5.0,2797.5519944391285,1094912,499283,6703550,5497.53682718,42764436,5497.53682718,191744,0,107138.94033704582,2797.5589733797337,1.874193205787671e-05,0.00015648005773354805,0.00014012983458496108,9.728687510372904e-05,7.164609900594432e-05,2.1680242841115004e-05,0.48625112338883336,9.121834185867004e-06,7.39978722228467e-05,5.812879770734678e-05,3.998371714346782e-05,1.7471403224477404e-05,9.54914109785904e-06,1.6684250285783426e-05,3.6647954811737626e-05,4.998511420593168e-05,3.46203533213779e-06,9.414924368955257e-05,8.10209440826093e-06,0.00031270345839710034,0.13412158189690662,0.14327520285889292,0.008829684301295798,0.02023551774057876,1.4926675503402948e-05,0.0015688225750919802,5.504688284203409e-05,0.17384202624037398,0.0034507022047118472
1,35872.99999999998,False,6,fadff_00000,2026-03-17_18-32-11,1773786731,85.84620594978333,472.3674156665802,3397281,dh-node10,10.199.0.10,472.3674156665802,6,77.06827907767371,2.619729252348207e-05,77.06772199999094,41.775896156928596,35.25419879653042,0.03168533475039344,35872.99999999998,-83.62380952380953,35.841718666273515,0.001138555956157634,2.7505000075462576,-629.8500000000001,0.01589005595853655,4.678773894373861,3.786603392687133,215.6666666666666,34,21.0,0.0,0.0008229487030419184,5.0,200.93262377410923,0.00718946206469179,182.0,64.94999999999997,200.93262377410923,821,4529.0,56.88242757574679,7,0,7,7.331623931623932,17.800000000000008,0.08777777777777777,0.022330729166666674,0.00033153283464924875,7281.999999999999,3589.999999999999,3692.0,-41.49523809523812,170.9523809523809,175.80952380952382,0.0006536860175532498,26479.000000000004,25880.00000000002,-41.49523809523812,-42.12857142857139,52358.99999999999,0.013770939,0.8729003,499283,2.0057783,1.5187500715255737,1.7658837,219776,1.0,-0.010921001,0.001,0.05,1.6755886,12.866843,1314688,128.0,6.0,2785.3942257413773,1314688,499283,7776293,5487.8514589082,50540729,5487.8514589082,219776,0,106301.05804411328,2785.3967282022904,1.8772621024527382e-05,0.00015678793072870708,0.0001398633334844864,9.70325069769291e-05,7.077064495284168e-05,2.182125284103193e-05,0.4838123762124025,9.032681389196053e-06,7.141910626955342e-05,5.728312042382471e-05,4.2362180323704514e-05,1.722715163912048e-05,9.482009747069981e-06,1.6582051448904844e-05,3.610939043442308e-05,5.0077335928779126e-05,3.4683023432338154e-06,9.098837085099739e-05,7.918517765688183e-06,0.00030078868850559034,0.1336218842714209,0.14198194324519572,0.008798850321906936,0.02019096265646616,1.4854969292382896e-05,0.001566442576403286,5.4916328736056376e-05,0.17329229753442396,0.0034377251999214656
1,42492.999999999956,False,7,fadff_00000,2026-03-17_18-33-44,1773786824,93.13331890106201,565.5007345676422,3397281,dh-node10,10.199.0.10,565.5007345676422,7,77.2288155715432,2.6160289879371365e-05,77.22825739055615,41.83805820385679,35.35263412085429,0.031609255259529366,42492.999999999956,-56.89785714285711,35.57733811176709,0.0011253022111770308,2.790366741793151,-619.9250000000002,0.017061347066153847,4.558605269874845,4.3075586726047925,189.1428571428572,30,35.0,0.0,0.0008306696116272577,6.0,170.90455526324104,0.007286407148291282,217.0,60.17499999999998,170.90455526324104,807,6619.999999999999,58.158016435792455,7,0,7,8.127777777777776,17.80000000000001,0.11015873015873014,0.023570808531746038,0.0003304432044995689,10080.999999999998,4817.999999999998,5263.0,-28.669285714285703,137.65714285714284,150.3714285714286,0.0006598142181655855,31741.999999999993,30698.000000000007,-28.669285714285703,-28.228571428571414,62440.00000000003,0.014895637,0.6071162,499283,1.9552505,1.5187500715255737,2.975247,304640,1.0,0.056709137,0.001,0.05,2.9568164,38.006817,1619328,128.0,7.0,2809.6008427978068,1619328,499283,15755600,5499.172944319117,66296329,5499.172944319117,304640,0,109440.7948346177,2809.603108082336,1.8820917990223675e-05,0.00015732735538493604,0.00013989941485608804,9.679715418331793e-05,6.963962931288395e-05,2.210279926160735e-05,0.4853600979922325,8.994083396870685e-06,7.242304255514259e-05,5.714014130715185e-05,4.0677509642683256e-05,1.748234744400843e-05,9.548180083625352e-06,1.654239406099272e-05,3.5858593805994225e-05,4.9673788719335045e-05,3.4739768560744424e-06,9.188668463702518e-05,7.98556609296602e-06,0.00030596535097191077,0.1359314937949863,0.14075585168600951,0.00882038740237231,0.020209124666041845,1.4815905881330862e-05,0.0015697456524583868,5.4677482130557685e-05,0.1737235212729922,0.0034328413319854945
1,47770.999999999985,False,8,fadff_00000,2026-03-17_18-34-37,1773786877,53.317758321762085,618.8184928894043,3397281,dh-node10,10.199.0.10,618.8184928894043,8,76.9895075334021,2.6065505480142774e-05,76.98894657001689,41.66901179461096,35.28237836879624,0.03154074713929758,47770.999999999985,-0.5185714285714164,35.5989497051357,0.0011036143808607804,2.8730569064872324,-353.5749999999998,0.016218879398515438,3.044228224882057,4.73566948306472,150.8,50,35.0,0.0,0.0008792266916615858,7.0,134.65029826375365,0.007281080168222168,252.0,56.69999999999999,134.65029826375365,464,5278.000000000001,59.01456859079154,7,0,7,8.46027397260274,17.8,0.12753424657534246,0.024934895833333335,0.0003467579770124073,6435.999999999999,3128.0,3307.9999999999995,-0.005714285714286353,89.3714285714286,94.51428571428572,0.0006867833479027373,35049.99999999998,33826.0,-0.005714285714286353,-0.5128571428571326,68876.0000000001,0.012018191,0.061874628,499283,1.844701,1.5187500715255737,6.5476646,195200,1.0,-0.041654337,0.001,0.05,6.432028,116.02704,1814528,128.0,8.0,2852.116961420358,1814528,499283,8048950,5496.961214875925,74345279,5496.961214875925,195200,0,111514.48798433968,2852.1192317369073,1.8666505576934458e-05,0.00015668585357059037,0.00013920235390844996,9.594044369970963e-05,6.816228414435591e-05,2.2173891425998195e-05,0.48343145365440143,9.508543428868438e-06,7.672750069997539e-05,5.965927669229029e-05,4.1506325740670974e-05,1.835855796614977e-05,1.0021434930930432e-05,1.7002544065414927e-05,3.671599038700612e-05,5.0469036597246434e-05,3.6328195160117215e-06,9.633394198277457e-05,8.46474338641596e-06,0.0003194412012049289,0.13559365788997016,0.13952486202002434,0.00880133266489186,0.020228861976932334,1.4770415823143163e-05,0.001575301684891685,5.4471720383173314e-05,0.17337687911217267,0.0034184091353561797
1,53870.999999999985,False,9,fadff_00000,2026-03-17_18-36-12,1773786972,94.3284125328064,713.1469054222107,3397281,dh-node10,10.199.0.10,713.1469054222107,9,77.16274291751827,2.6101048256972054e-05,77.1621783140946,41.80581837394913,35.31884534001511,0.03145586875270628,53870.999999999985,-53.95982142857142,35.53665758668317,0.0010884014762533613,2.8973838447770563,-623.6499999999999,0.015179188381939799,4.75405933521688,4.919781436894075,217.85714285714278,48,28.0,0.0,0.0008473489655742803,8.0,166.55883390825173,0.007322067876712017,280.0,57.299999999999955,166.55883390825173,812,6100.000000000001,59.70429515148196,7,0,7,7.72109375,17.800000000000004,0.098203125,0.024934895833333342,0.000336734842621767,8887.0,4268.0,4618.999999999999,-27.744642857142864,152.42857142857142,164.96428571428575,0.000666767935516133,39668.99999999995,38094.00000000001,-27.744642857142864,-26.215178571428563,77763.0000000001,0.014207045,0.6439072,499283,1.9113185,1.5187500715255737,2.762492,268416,1.0,-0.07388527,0.001,0.05,2.614617,51.37643,2082944,128.0,9.0,2851.7158054318206,2082944,499283,12791700,5502.991602727166,87136979,5502.991602727166,268416,0,112715.71009543998,2851.7186001461273,1.8553873605765788e-05,0.00015697293499379746,0.00013880370698053838,9.551471528592925e-05,6.695508340360082e-05,2.1997839246035564e-05,0.48130264445914883,9.967455907835741e-06,7.310327435811589e-05,5.806911365371105e-05,4.034914206019133e-05,1.7652682535610973e-05,9.633571611678657e-06,1.6933047807287025e-05,3.63012277831646e-05,4.982591460460342e-05,3.53242014228625e-06,9.350518805757928e-05,8.1963825504644e-06,0.0003077640205577232,0.13522472244701578,0.13829530127378364,0.008781696706395083,0.020162269440470275,1.4718451625582203e-05,0.001572504408136953,5.4171754751950534e-05,0.17295323460657008,0.0034068513024354827
1,59024.999999999985,False,10,fadff_00000,2026-03-17_18-37-32,1773787052,80.11825108528137,793.2651565074921,3397281,dh-node10,10.199.0.10,793.2651565074921,10,77.19216694840058,2.6009911012012198e-05,77.191602868737,41.85079334522624,35.30337382099788,0.031358034900515426,59024.999999999985,-42.78214285714284,35.47337647936123,0.001075295219620505,2.9762529907233017,-559.4249999999998,0.016782667280000562,4.1642453450975685,5.492793256430324,184.07142857142856,54,28.0,0.0,0.0008784116307915207,9.0,169.71480541498087,0.007368124418018431,308.0,57.899999999999984,169.71480541498087,730,5154.0,59.739174095617145,7,0,7,7.980733944954128,17.800000000000004,0.09633027522935782,0.024934895833333335,0.00034352358180248047,7526.000000000002,3770.000000000001,3756.000000000001,-19.273214285714285,134.64285714285714,134.14285714285714,0.0006867888489356827,43424.99999999993,41863.99999999999,-19.273214285714285,-23.50892857142855,85289.00000000015,0.012527503,0.81355315,499283,2.0199676,1.5187500715255737,2.6848311,227584,1.0,0.009654422,0.001,0.05,2.6125133,22.139105,2310528,128.0,10.0,2851.0676062967755,2310528,499283,9163812,5499.501686699894,96300791,5499.501686699894,227584,0,112795.1435276582,2851.0736308230967,1.8469134877416184e-05,0.0001570894888811381,0.0001385354321603147,9.516037430139065e-05,6.59090336040628e-05,2.1859362304020734e-05,0.4819039335884285,9.324820240507171e-06,7.546329149888768e-05,5.979306386949625e-05,4.0996638596856607e-05,1.8268859931342255e-05,9.940508052056201e-06,1.7284366328635198e-05,3.727259350630501e-05,5.1119055525061894e-05,3.6145936586395786e-06,9.58935130906526e-05,8.685774830377877e-06,0.0003200418134677927,0.1372292753018913,0.1370918366591805,0.0087779568219055,0.02012413904568191,1.4668459933213252e-05,0.0015727993044318653,5.391185541550967e-05,0.17281103329474748,0.0033961034047027233
