num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_len_mean,env_runners/episode_len_max,env_runners/num_episodes_lifetime,env_runners/env_step_timer,env_runners/episode_duration_sec_mean,env_runners/connector_pipeline_timer,env_runners/red_team_score_mean,env_runners/num_episodes,env_runners/time_between_sampling,env_runners/blue_team_score_mean,env_runners/episode_return_mean,env_runners/weights_seq_no,env_runners/episode_len_min,env_runners/rlmodule_inference_timer,env_runners/num_env_steps_sampled,env_runners/episode_return_min,env_runners/episode_return_max,env_runners/env_reset_timer,env_runners/sample,env_runners/num_env_steps_sampled_lifetime,env_runners/env_to_module_sum_episodes_length_in,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled/shared_policy,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/agent_steps/red_robot_1,env_runners/agent_steps/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/module_episode_returns_mean/shared_policy,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/shared_policy/curr_kl_coeff,learners/shared_policy/mean_kl_loss,learners/shared_policy/policy_loss,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/num_module_steps_trained,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/num_trainable_parameters,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/vf_explained_var,learners/shared_policy/total_loss,learners/shared_policy/entropy,learners/shared_policy/vf_loss,learners/shared_policy/weights_seq_no,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping
1,14560.0,False,1,6fde9_00000,2026-03-18_17-44-21,1773870261,47.731247901916504,47.731247901916504,2335544,dh-node7,10.199.0.7,47.731247901916504,1,47.718193739885464,5.305907689034939e-05,47.71759541099891,22.275097258156165,25.40370135498233,0.027753395959734917,61.09270831764845,101.14285714285712,328,147.0,0.022243819662897884,2.2918237482829555,0.0016365782388092591,47.01830281662619,42.0,0.8249905718510966,0.0,31.845238095238084,0.0,39,0.003068934831660814,4247.999999999999,0.0,51.75,0.007015614538939919,2.2844573876988643,14560.0,61.09270831764845,nan,7,0,7,9.169230769230769,11.427692307692306,0.09815384615384615,0.01192608173076923,0.002146032525325716,4850.000000000001,14.565476190476197,17.279761904761905,0.0003961756967775651,8139.0,8078.0,58.40476190476191,57.07142857142856,2453.0,2396.9999999999995,16217.0,14.565476190476197,4914936,4914936,0,148096,148096,4248,4248,499283,nan,nan,0.30000001192092896,0.042942084,0.08936425,148096,148096,20.905132,499283,128.0,1.0,0.05,0.2693205,4.204587,1.7415473,4.193712,1.0,0.001,nan,3.010661667258657e-05,0.00019090979734227197,0.00021208223270862244,0.00016441552368569168,2.964308243906519e-05,5.931279220477608e-05,0.2623640210367739,3.894430467616822e-06,0.00012496535353888441,9.213981564529605e-06,0.00015983970904814778,4.351732541128618e-05,0.0015846284297050962,2.0148044608934792e-05,4.555688015848801e-05,1.0884202478866636e-05,2.108307797445557e-05,1.0669785339503266e-05,6.573763597726106e-05,8.743086821752283e-05,0.002514161868020892,0.07886686595156789,0.09447564906440675,4.4994987547397614e-05,0.05913074011914432,0.020242077996954322,0.0021906420588493347,1.2928852811455727e-05,0.004046224057674408
1,19176.000000000004,False,2,6fde9_00000,2026-03-18_17-45-27,1773870327,66.13869214057922,113.86994004249573,2335544,dh-node7,10.199.0.7,113.86994004249573,2,47.90225517322775,5.286008585244417e-05,47.9016543903295,22.358978703184984,25.503925030592363,0.027741094250231982,174.51591135954106,219.80952380952382,738,168.0,0.01436899431479148,4.21961159988617,0.0015979178956489887,46.61059896656296,21.0,1.146742612086813,0.0,25.42857142857143,1.0,36,0.0008122783465243121,4616.0,-9.0,59.0,0.007099633483667607,2.315353133317293,19176.000000000004,174.51591135954106,82.22002465101922,7,0,7,6.886666666666668,11.53888888888889,0.1041111111111111,0.018029513888888894,0.0006466935703611677,6751.999999999998,13.059523809523807,12.369047619047619,0.00031632705367911913,11700.000000000004,11269.000000000004,151.952380952381,169.57142857142858,3190.999999999999,3560.9999999999995,22969.000000000007,13.059523809523807,12268224,7353288,0,352000,203904,4251.679999999999,4251.679999999999,499283,nan,nan,0.45000001788139343,0.020725518,0.0040660924,352000,203904,23.8409,499283,128.0,1.0,0.05,0.14196026,1.9841623,1.9038355,2.0690703,2.0,0.001,nan,2.9677598727431468e-05,0.00018859326959445565,0.0002098821264589518,0.00016098179595200397,2.9234688291776176e-05,5.844554173866108e-05,0.26427749859634786,3.1307650735590506e-06,4.879736035612529e-05,7.69461973966486e-06,9.099811347634318e-05,3.493325033389513e-05,0.00030170025605376637,1.5986930674479623e-05,3.767644287229407e-05,9.205947878496431e-06,1.6671675005102723e-05,8.729802138169862e-06,5.518516259528794e-05,6.978654579302988e-05,0.002510869619436562,0.07910075958119704,0.09368137285578995,4.486784804612398e-05,0.06166346572805197,0.020191971794702113,0.002178592118434608,1.2902203015983105e-05,0.004057622666005045
1,23630.000000000007,False,3,6fde9_00000,2026-03-18_17-46-25,1773870385,57.90104532241821,171.77098536491394,2335544,dh-node7,10.199.0.7,171.77098536491394,3,48.0021083196959,5.2509544556960466e-05,48.00150725037614,22.399110188663144,25.56368807129788,0.027724738967232404,169.44075946504694,159.07142857142858,783,196.0,0.01752279312954393,3.3642888384305745,0.0015664877933088887,46.300150703387125,28.0,1.6689446503836123,0.0,28.97321428571428,2.0,33,0.0008525481917555253,4454.0,0.0,61.25,0.0071148493199161954,2.383571092453521,23630.000000000007,169.44075946504694,81.70837088182402,7,0,7,7.715189873417722,11.573417721518986,0.10898734177215189,0.019335937499999997,0.000671735034107165,6189.000000000002,14.0625,14.910714285714283,0.00033431228892567057,14882.000000000011,14276.000000000004,107.39285714285712,113.64285714285712,3007.000000000001,3182.000000000001,29158.000000000015,14.0625,18788880,6520656,0,539392,187392,4253.703199999999,4253.703199999999,499283,112564.39293178439,3234.856910921465,0.675000011920929,0.038012195,-0.023792392,539392,187392,29.652193,499283,128.0,1.0,0.05,0.2831167,3.0778878,1.8367454,3.1764119,3.0,0.001,3234.978381013169,2.9230740918495105e-05,0.00018640999040797285,0.00020769814498649376,0.0001583517765570373,2.883976844504323e-05,5.7788013675301366e-05,0.26375331254084594,3.5328296948481466e-06,4.998375176029679e-05,7.961315686258112e-06,9.439063399134615e-05,3.591645180539554e-05,0.00031368086338711293,1.812580937506021e-05,3.958708636907243e-05,9.581750057134414e-06,1.7932202448287403e-05,9.251036166086178e-06,5.7833480656966045e-05,7.458267637942514e-05,0.0025059082012157887,0.0793826997268712,0.09286833250741473,4.541673013009131e-05,0.06174892333182507,0.020109535086667168,0.0021683113651815803,1.2914690794423222e-05,0.004080508289276622
1,28259.000000000007,False,4,6fde9_00000,2026-03-18_17-47-44,1773870464,78.66382789611816,250.4348132610321,2335544,dh-node7,10.199.0.7,250.4348132610321,4,48.30858410273724,5.215303945215419e-05,48.307981090334174,22.582362452647764,25.68687728467304,0.02777817772767879,189.367849264911,220.42857142857147,895,217.0,0.01579022790020135,4.379495728683347,0.0015399840348489001,45.98937157955438,21.0,2.052216013339147,0.0,25.047619047619044,3.0,36,0.0008156523117228982,4629.0,-8.25,52.25,0.0071802899309345,2.4313353525371517,28259.000000000007,189.367849264911,80.82514051817816,7,0,7,6.44537037037037,11.587962962962958,0.09111111111111111,0.019837480709876548,0.0006488179362726341,7161.0,13.452380952380956,11.595238095238098,0.0003187926705052967,18730.000000000015,17589.0,157.76190476190473,183.23809523809527,3312.999999999999,3848.000000000001,36319.00000000002,13.452380952380956,26607261,7818381,0,755584,216192,4257.456167999999,4257.456167999999,499283,111904.17285084203,3210.489194853094,0.675000011920929,0.01978138,0.027411854,755584,216192,10.008173,499283,128.0,1.0,0.05,0.24005294,1.1468713,1.9525483,1.2037345,4.0,0.001,3210.601103971238,2.8860712820476637e-05,0.00018493791718554646,0.0002061928334448988,0.00015657034103311012,2.854781294355388e-05,5.730959185221633e-05,0.26430112188655275,3.145627099851016e-06,4.827011704851373e-05,7.654958193724125e-06,9.190248540202233e-05,3.480176913652572e-05,0.00030289414366055394,1.589400378364368e-05,3.7949663184595394e-05,9.213617586673812e-06,1.682898409471154e-05,8.888568607791374e-06,5.5726354162616404e-05,7.007896085913506e-05,0.0025047649986320174,0.08015953729933802,0.09211148248144098,4.530993217928335e-05,0.062253463149691476,0.020106799655978107,0.002162580091271084,1.2921384268905967e-05,0.004117200255153002
1,32854.0,False,5,6fde9_00000,2026-03-18_17-48-56,1773870536,72.04941391944885,322.48422718048096,2335544,dh-node7,10.199.0.7,322.48422718048096,5,48.545873477798594,5.200775872116443e-05,48.545270990599874,22.7404521981918,25.76609438943808,0.027769952789886723,145.27101006630807,164.10714285714283,693,245.0,0.016707230247810765,3.4127583523763216,0.001515159626385767,45.63149088041636,28.0,2.6076129973095803,0.0,23.41071428571428,4.0,48,0.00084548180019595,4595.000000000001,-9.5,66.75,0.007246063084531977,2.464561927850045,32854.0,145.27101006630807,79.79292548356827,7,0,7,7.235714285714286,11.599999999999994,0.08938775510204082,0.02037760416666667,0.0006712775533211401,6452.0,11.76785714285714,11.64285714285714,0.0003314071870965803,22130.000000000007,20641.0,109.0,121.42857142857139,3052.0,3400.0000000000005,42771.00000000003,11.76785714285714,33619231,7011970,0,950912,195328,4260.831606319998,4260.831606319998,499283,111172.74694192983,3185.4505630519316,1.0125000476837158,0.024845492,-0.046766296,950912,195328,18.056286,499283,128.0,1.0,0.05,0.40178645,2.2454908,1.8927875,2.3701258,5.0,0.001,3185.5618647590554,2.8508524554297685e-05,0.00018344161575667957,0.0002046980325985677,0.00015507726178304757,2.835169622656697e-05,5.692152722448e-05,0.26622869111617686,3.2949578611665137e-06,4.9434457022050265e-05,7.81483078102335e-06,9.557353093932468e-05,3.6320696303345885e-05,0.0003134987923614254,1.6606031936587597e-05,3.916356522842832e-05,9.543832383235987e-06,1.7532238094687897e-05,9.132725644569425e-06,5.719079955190274e-05,7.41095550653323e-05,0.0024983560400449437,0.08038550959469691,0.09131843595659064,4.5406543678850867e-05,0.0647217795573546,0.020135862699279916,0.0021592557312269,1.2883740390059537e-05,0.0041282187128661545
1,37700.000000000015,False,6,6fde9_00000,2026-03-18_17-50-20,1773870620,83.96089053153992,406.4451177120209,2335544,dh-node7,10.199.0.7,406.4451177120209,6,48.89990028333146,5.168623212194149e-05,48.89929745563379,22.955217966360564,25.90542514940323,0.027719464051441094,164.80625889499674,173.07142857142856,798,273.0,0.018847570893711207,4.060638232322943,0.001493656657466242,45.305956501865055,28.0,3.0944293450083213,0.0,31.455357142857153,5.0,41,0.000836684734543121,4846.0,0.0,67.25,0.007352766957218532,2.5190872823295365,37700.000000000015,164.80625889499674,78.90601057058404,7,0,7,6.631304347826087,11.599999999999994,0.09313043478260868,0.020377604166666674,0.0006618694951345086,7557.0,15.625,15.83035714285714,0.00032712663529057244,25919.00000000002,24409.00000000001,134.5714285714286,135.3214285714286,3768.0,3789.0,50328.00000000005,15.625,42269341,8650110,0,1179392,228480,4266.6832902567985,4266.6832902567985,499283,110751.69386277448,3161.8799319718014,1.0125000476837158,0.013021252,-0.1379582,1179392,228480,34.35191,499283,128.0,1.0,0.05,0.23664683,1.6312457,1.9326288,1.8526514,6.0,0.001,3161.983753042929,2.81058928336748e-05,0.00018238994872910288,0.00020272637237127552,0.00015960631327766693,2.8051790719382833e-05,5.623111289131064e-05,0.2669459079356996,3.136231484847571e-06,5.016885925229439e-05,7.775147611040555e-06,9.328299399139762e-05,3.5829656086334646e-05,0.00030891570803722823,1.692382247865016e-05,3.933763517723305e-05,9.474796137556604e-06,1.743725279978613e-05,9.033851135468055e-06,5.7263053262431036e-05,7.229881665187373e-05,0.0025037889883153907,0.08117933929751214,0.09059260179658259,4.54181395293701e-05,0.06532559083131649,0.0201393479324067,0.0021529976143098667,1.2884373122175549e-05,0.004173992916212975
1,42254.00000000003,False,7,6fde9_00000,2026-03-18_17-51-22,1773870682,62.2968864440918,468.74200415611267,2335544,dh-node7,10.199.0.7,468.74200415611267,7,49.03371281958745,5.1398850011413766e-05,49.03310889398677,23.042638447207757,25.951868937789964,0.027668894610356373,118.70614142125932,130.1142857142857,855,308.0,0.017920830632768184,2.8545326877851034,0.0014618660789695005,44.9808061513677,35.0,3.6630553538585047,0.0,27.74285714285714,6.0,33,0.0008419724641641061,4554.000000000001,-6.0,51.0,0.007380436469075336,2.565359890274182,42254.00000000003,118.70614142125932,78.146361587553,7,0,7,7.556470588235293,11.599999999999998,0.09517647058823529,0.020377604166666664,0.0006682660524676252,5801.999999999999,12.707142857142857,15.035714285714283,0.00033120526184005517,28701.000000000022,27429.0,86.28571428571428,79.48571428571428,3020.0,2782.0000000000005,56130.0000000001,12.707142857142857,48540199,6270858,0,1355648,176256,4269.556457354231,4269.556457354231,499283,110245.18699100497,3145.1970305277605,1.5187500715255737,0.024208091,-0.0010564327,1355648,176256,35.097733,499283,128.0,1.0,0.05,0.21943796,3.3826559,1.8215561,3.4502792,7.0,0.001,3145.291992125181,2.784228285487502e-05,0.00018114609990280405,0.00020083880524194718,0.0001564379984482638,2.764095003383181e-05,5.544240407308238e-05,0.267035021675054,3.2884250077391014e-06,4.9466886058127854e-05,7.935850781126857e-06,9.42982754358044e-05,3.548859835336549e-05,0.00031050736956521547,1.660348450723404e-05,3.892295912978358e-05,9.53092135607313e-06,1.7761154844225168e-05,9.304719010330884e-06,5.7013928245186436e-05,7.262789120378749e-05,0.002508164428335273,0.08164979537245008,0.0898479525386622,4.5787088965198795e-05,0.06565841895301314,0.020142346882523844,0.002153179447261763,1.2892398884825721e-05,0.0041983999074859755
1,47042.00000000003,False,8,6fde9_00000,2026-03-18_17-52-21,1773870741,59.18755221366882,527.9295563697815,2335544,dh-node7,10.199.0.7,527.9295563697815,8,49.13510532096219,5.1056311012367024e-05,49.1344995780478,23.091909956784555,26.00398975814164,0.02764414840454044,104.42882873512896,136.8,843,343.0,0.018082681268087257,2.830992799564931,0.0014343227483956688,44.85804607561139,35.0,3.9073382481294843,0.0,31.100000000000012,7.0,40,0.0008573740234484477,4788.000000000001,-9.5,53.0,0.007459673850952565,2.5711909057219464,47042.00000000003,104.42882873512896,78.32417991998048,7,0,7,7.8543209876543205,11.599999999999998,0.10283950617283949,0.02037760416666667,0.0006820098476765041,5971.000000000001,15.10714285714286,15.992857142857138,0.0003385994245332443,31775.000000000022,30326.000000000007,82.77142857142856,87.82857142857142,2897.0000000000005,3073.999999999999,62101.000000000175,15.10714285714286,55320007,6779808,0,1536896,181248,4274.740892780688,4274.740892780688,499283,110457.49095970367,3140.97148678822,1.5187500715255737,0.012800289,-0.007407215,1536896,181248,46.808426,499283,128.0,1.0,0.05,0.21911186,4.4074793,1.7763723,4.4842644,8.0,0.001,3141.0679661644645,2.748107123156696e-05,0.00017964114315046693,0.00019903884351204853,0.00015437248410088482,2.7349745250165496e-05,5.502796872862034e-05,0.26839672283763016,3.390888935714177e-06,4.962265596138737e-05,8.103215629231901e-06,9.605639012283741e-05,3.6248658188213624e-05,0.00031692714954274705,1.6774386241105796e-05,3.9347856875009506e-05,9.654566917447517e-06,1.8083484045194002e-05,9.341013109618138e-06,5.7657539965561833e-05,7.522303316078143e-05,0.0025087886445139596,0.08173310884769718,0.0890723052826834,4.61242089950772e-05,0.06768541977255499,0.020163123752892993,0.0021577240422658026,1.2849494177275385e-05,0.004201457427162648
1,51293.000000000044,False,9,6fde9_00000,2026-03-18_17-53-24,1773870804,62.974194049835205,590.9037504196167,2335544,dh-node7,10.199.0.7,590.9037504196167,9,49.273377979222616,5.134315793216131e-05,49.272770859638854,23.20292626102706,26.031323165190386,0.02760158283869714,110.6928249955201,121.45714285714283,854,378.0,0.01741431606939104,2.677585710019671,0.001409020907399398,44.5171384076479,35.0,4.166079173470577,0.0,26.59285714285715,8.0,34,0.000819605712261899,4251.0,0.0,55.25,0.007527202988963382,2.5795913462929922,51293.000000000044,110.6928249955201,77.65617928634381,7,0,7,6.960465116279068,11.6,0.0888372093023256,0.020377604166666664,0.0006580863581200526,5411.000000000001,13.257142857142862,13.335714285714287,0.0003237418359696007,34585.00000000004,32927.000000000015,74.3142857142857,80.28571428571429,2601.0,2810.0,67512.00000000013,13.257142857142862,60782542,5462535,0,1701376,164480,4274.503483852882,4274.503483852882,499283,109268.95846510213,3114.433236125539,1.5187500715255737,0.015044682,-0.02058403,1701376,164480,39.88624,499283,128.0,1.0,0.05,0.13216722,3.891137,1.7626332,3.9770038,9.0,0.001,3114.52385110498,2.7128149445955284e-05,0.0001780068557276182,0.0001974630835238246,0.00015353657942426786,2.7053918837548914e-05,5.4523096077008104e-05,0.2682268224381343,3.2039999654027577e-06,4.821450490378611e-05,7.836784540022586e-06,9.34094546977196e-05,3.51950199044671e-05,0.0003057229499421555,1.623731232644429e-05,3.806994555908016e-05,9.289769243254004e-06,1.723555489846264e-05,9.271812559681754e-06,5.586748332129578e-05,7.109006942295699e-05,0.0025050211765235268,0.08211392259836545,0.08832725043100507,4.6322508597711175e-05,0.0678521136347586,0.020180643713762384,0.0021588326509509466,1.2841249278030546e-05,0.004217513923707389
1,55851.000000000015,False,10,6fde9_00000,2026-03-18_17-54-30,1773870870,66.04720973968506,656.9509601593018,2335544,dh-node7,10.199.0.7,656.9509601593018,10,49.44097354499987,5.1065737463085885e-05,49.440364222842305,23.316728672225647,26.085189149218824,0.027515040529877566,109.71176015156159,130.22857142857146,779,413.0,0.018326975837863732,2.8656916329836744,0.001388738409565839,44.301335805448566,35.0,4.427534295885905,0.0,29.12857142857143,9.0,49,0.0008430851778862643,4558.000000000001,0.0,58.5,0.007654832300548813,2.5856982761092118,55851.000000000015,109.71176015156159,77.36837700489333,7,0,7,7.084444444444443,11.599999999999994,0.09555555555555555,0.02037760416666667,0.0006722773879337526,5985.999999999999,13.757142857142862,15.37142857142857,0.00033346793615571897,37523.000000000015,35975.000000000015,87.08571428571432,83.94285714285714,3048.0000000000005,2937.9999999999995,73498.0000000001,13.757142857142862,67254902,6472360,0,1883136,181760,4277.338449014353,4277.338449014353,499283,108702.8839514537,3096.2419073115743,1.5187500715255737,0.009438676,-0.139632,1883136,181760,42.552902,499283,128.0,1.0,0.05,0.22316372,3.0919452,1.8115268,3.307819,10.0,0.001,3096.3283094839644,2.6856820105239366e-05,0.00017606092409913783,0.0002042899504351717,0.00015056537663680334,2.6784250803080188e-05,5.402675160958868e-05,0.26825889320554397,3.249054971617593e-06,4.9426516191933074e-05,7.939188548656061e-06,9.533255978334461e-05,3.599294528314356e-05,0.00031171624949297844,1.6503859442471066e-05,3.981667477107127e-05,9.487731589030493e-06,1.752594840731521e-05,9.358450010199419e-06,5.700749887607961e-05,7.309621738665474e-05,0.0025055852343017306,0.0825522998034005,0.08759293071629969,4.65556427139998e-05,0.06813313454052113,0.020205100687502198,0.00215833980521131,1.2834497781478696e-05,0.004242885824996138
