iteration,steps,env_steps,internal_ticks,score_red
1,81,81,601,66.0
2,276,276,600,78.0
3,120,120,600,66.0
4,110,110,600,81.0
5,94,94,601,87.0
6,88,88,600,78.0
7,515,515,600,24.0
8,126,126,600,78.0
9,157,157,601,75.0
10,84,84,600,103.0
11,113,113,600,84.0
12,107,107,600,78.0
13,101,101,600,66.0
14,86,86,600,78.0
15,70,70,600,66.0
16,98,98,600,78.0
17,107,107,600,84.0
18,85,85,600,87.0
19,66,66,600,90.0
20,99,99,600,63.0
21,74,74,600,92.0
22,79,79,600,81.0
23,128,128,600,75.0
24,105,105,600,69.0
25,157,157,600,81.0
26,88,88,600,84.0
27,92,92,601,99.0
28,73,73,600,75.0
29,77,77,600,87.0
30,354,354,600,48.0
31,88,88,600,78.0
32,113,113,600,75.0
33,193,193,600,72.0
34,72,72,600,66.0
35,81,81,600,84.0
36,134,134,600,84.0
37,115,115,600,84.0
38,153,153,600,78.0
39,69,69,600,87.0
40,85,85,600,78.0
41,174,174,600,78.0
42,93,93,600,87.0
43,92,92,600,84.0
44,98,98,600,90.0
45,136,136,600,60.0
46,90,90,600,72.0
47,95,95,600,75.0
48,103,103,600,69.0
49,124,124,600,87.0
50,113,113,600,87.0
51,165,165,600,78.0
52,80,80,600,78.0
53,119,119,600,81.0
54,83,83,600,97.0
55,119,119,600,93.0
56,315,315,600,48.0
57,91,91,600,90.0
58,255,255,600,60.0
59,95,95,600,75.0
60,95,95,600,92.0
61,86,86,600,84.0
62,153,153,600,81.0
63,83,83,600,72.0
64,118,118,600,66.0
65,80,80,600,96.0
66,91,91,600,90.0
67,83,83,600,90.0
68,113,113,600,87.0
69,81,81,600,81.0
70,118,118,600,84.0
71,103,103,600,99.0
72,544,544,600,9.0
73,88,88,600,72.0
74,121,121,600,87.0
75,150,150,600,78.0
76,103,103,600,93.0
77,95,95,600,93.0
78,113,113,601,84.0
79,109,109,600,78.0
80,105,105,600,75.0
81,78,78,600,69.0
82,140,140,601,84.0
83,71,71,600,81.0
84,93,93,601,99.0
85,86,86,600,84.0
86,89,89,600,66.0
87,87,87,600,87.0
88,107,107,600,72.0
89,170,170,600,78.0
90,125,125,600,90.0
91,145,145,600,78.0
92,102,102,600,60.0
93,93,93,600,81.0
94,103,103,600,87.0
95,77,77,600,81.0
96,111,111,600,87.0
97,144,144,601,75.0
98,106,106,600,69.0
99,71,71,600,72.0
100,124,124,600,96.0
101,121,121,600,84.0
102,117,117,600,87.0
103,75,75,600,81.0
104,106,106,600,93.0
105,115,115,600,78.0
106,79,79,600,80.0
107,86,86,600,81.0
108,155,155,600,92.0
109,68,68,600,72.0
110,106,106,600,81.0
111,117,117,600,72.0
112,72,72,600,69.0
113,76,76,600,81.0
114,135,135,601,90.0
115,117,117,600,78.0
116,76,76,600,81.0
117,93,93,601,78.0
118,81,81,600,66.0
119,107,107,601,87.0
120,102,102,600,90.0
121,79,79,600,95.0
122,237,237,600,60.0
123,118,118,600,75.0
124,94,94,600,75.0
125,114,114,600,78.0
126,77,77,600,81.0
127,94,94,600,75.0
128,77,77,600,93.0
129,143,143,600,75.0
