num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/blue_team_score_mean,env_runners/episode_len_min,env_runners/episode_return_min,env_runners/red_team_score_mean,env_runners/num_episodes_lifetime,env_runners/episode_len_max,env_runners/env_to_module_sum_episodes_length_in,env_runners/rlmodule_inference_timer,env_runners/episode_return_max,env_runners/weights_seq_no,env_runners/connector_pipeline_timer,env_runners/env_step_timer,env_runners/episode_return_mean,env_runners/time_between_sampling,env_runners/sample,env_runners/num_episodes,env_runners/num_env_steps_sampled_lifetime,env_runners/env_to_module_sum_episodes_length_out,env_runners/env_reset_timer,env_runners/num_env_steps_sampled,env_runners/episode_duration_sec_mean,env_runners/episode_len_mean,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/agent_steps/red_robot_1,env_runners/agent_steps/red_robot_0,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/module_episode_returns_mean/shared_policy,env_runners/num_module_steps_sampled/shared_policy,learners/shared_policy/curr_kl_coeff,learners/shared_policy/mean_kl_loss,learners/shared_policy/total_loss,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/num_module_steps_trained,learners/shared_policy/entropy,learners/shared_policy/policy_loss,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/vf_explained_var,learners/shared_policy/num_trainable_parameters,learners/shared_policy/weights_seq_no,learners/shared_policy/vf_loss,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor
1,17647.000000000004,False,1,6fdea_00000,2026-03-18_17-44-16,1773870256,42.9756965637207,42.9756965637207,2335579,dh-node7,10.199.0.7,42.9756965637207,1,42.95903584291227,3.6668963730335236e-05,42.95848672394641,11.918759492924437,30.992260647006333,0.03267464321106672,0.0,32,-9.0,38.79819692546594,196.0,314,59.75828922092312,0.0069355727387774,66.0,0.0,0.0015097591237818715,0.012760206497419728,29.142857142857153,0.4500232079461738,1.0037410577700216,49.0,17647.000000000004,59.75828922092312,0.0050010768935078685,4908.0,1.147792064888897,100.16326530612244,nan,7,0,7,9.042372881355933,11.410169491525423,0.12440677966101694,0.013732565324858757,54.79591836734696,52.69387755102039,0.0003959763438726356,19016.0,14.311224489795912,14.831632653061229,0.003103603101917691,10010.999999999998,9005.0,2685.0,2582.0,14.831632653061229,5267.0,0.30000001192092896,0.034454044,3.6044915,0.001,42.991375,128.0,161024,46.21297,0.07730577,161024,0.045978904,494418,1.0,5.8309436,1.0,0.05,nan,6174264,4908,0,161024,6174264,4908,161024,494418,nan,nan,3.104669886156331e-05,0.00015798779267858703,0.00015169089565115375,5.569002310918482e-05,2.6039728389920945e-05,0.00017004971563591297,0.5636489118915051,1.0373665144789457e-05,6.444160879570343e-05,4.819975172833651e-05,2.229433463923568e-05,1.0524913873134512e-05,8.49090879629306e-05,3.935178158569098e-06,0.000174763673324763,0.00021696062311428834,0.0023793762210620253,1.1586538930877063e-05,7.824251510475078e-05,2.8251182984932454e-05,0.16877871681936085,1.4966120943427086e-05,0.026523648062720895,0.002568332012742758,7.333792746067047e-05,0.008736407849937677,0.22040007612667978,0.13233171310275793,0.0031753689981997013
1,22819.00000000001,False,2,6fdea_00000,2026-03-18_17-45-28,1773870328,71.95694899559021,114.93264555931091,2335579,dh-node7,10.199.0.7,114.93264555931091,2,43.248893730381965,3.668408375233411e-05,43.248341063875706,12.100800515315496,31.10017049171729,0.03264778480865061,0.0,37,0.0,38.97899827104954,231.0,767,117.95704000600585,0.0008806825244902777,69.25,1.0,0.0014656454834558626,0.00846352797870091,32.58571428571429,0.7912556853959883,1.0335474838854928,35.0,22819.00000000001,117.95704000600585,0.0049451429386727095,5171.999999999999,2.157880172918418,147.77142857142857,84.50750027755073,7,0,7,7.096938775510204,11.540816326530612,0.103265306122449,0.018294270833333334,108.3714285714286,93.22857142857146,0.0003146567763560676,26072.0,16.735714285714288,15.849999999999998,0.0011749434357107805,13804.0,12268.0,3793.0,3262.9999999999995,15.849999999999998,7056.000000000001,0.45000001788139343,0.026029874,0.6741616,0.001,33.822037,128.0,213888,46.29479,-0.09034239,374912,0.24285293,494418,2.0,3.0714347,1.0,0.05,nan,8642412,4910.64,0,213888,14816676,4910.64,374912,494418,nan,nan,3.0270142901392888e-05,0.00015671403703517478,0.00014838878622591234,5.4978440620071877e-05,2.567673403570135e-05,0.00016914405786665367,0.5651535600028001,8.902459779639885e-06,5.33531530906284e-05,3.697794564750643e-05,1.5749972483627105e-05,9.027940523080773e-06,6.647855281688534e-05,3.241454942935736e-06,0.00013528944762519472,0.000118822661960203,0.0006738364378854158,9.565016860878647e-06,6.24342008945766e-05,2.2795326317425126e-05,0.16722169605083761,1.49323302321136e-05,0.02651317553129047,0.0025611061416566374,7.340700831264256e-05,0.008762966841459274,0.223457055746112,0.13234164152294398,0.003167004047427326
1,27909.000000000015,False,3,6fdea_00000,2026-03-18_17-46-52,1773870412,84.06438136100769,198.9970269203186,2335579,dh-node7,10.199.0.7,198.9970269203186,3,43.65690188765951,3.6567284399643535e-05,43.65634816366574,12.366741853252286,31.242267273001023,0.03266599062122404,0.0,45,-4.5,39.20060126954745,259.0,855,159.66030121200956,0.0009031747086660056,66.75,2.0,0.001435593241569548,0.010400578990188133,30.77678571428572,1.3449782838000053,1.1008010622666577,28.0,27909.000000000015,159.66030121200956,0.004906339927293985,5090.000000000002,3.1309215790409204,181.78571428571425,83.44096781459692,7,0,7,7.635652173913043,11.578260869565213,0.09999999999999998,0.021123754528985503,138.6785714285714,142.85714285714286,0.00031905410416979647,33955.0,14.41964285714286,16.357142857142858,0.0011895811556569187,17686.999999999996,16268.0,3883.0,3999.999999999999,16.357142857142858,7883.000000000002,0.45000001788139343,0.01535492,-0.6780821,0.001,8.997812,128.0,238208,46.46689,0.022195047,613120,0.5759951,494418,3.0,1.6161574,1.0,0.05,2832.9633006890135,9472490,4912.4336,0,238208,24289166,4912.4336,613120,494418,112655.19258160697,2832.9543050126963,2.966592029965729e-05,0.00015553908445449337,0.00014636475225054813,5.4390094155716494e-05,2.5388850027526856e-05,0.0001680608668034764,0.5670091402311112,8.926318390656898e-06,5.482176241407897e-05,3.7945503337678595e-05,1.5999625648554222e-05,9.158026374694566e-06,6.849269865152915e-05,3.312370102074453e-06,0.00013518090698739005,0.00012219974677717498,0.0006803797967719485,9.561603156959284e-06,6.545280156727719e-05,2.3486744683385813e-05,0.1656986778212711,1.4905485161580146e-05,0.026462473005941137,0.002550480081420392,7.315770792774854e-05,0.008803780884481966,0.22435114432943518,0.13486367122679951,0.0031568039469188074
1,32195.000000000022,False,4,6fdea_00000,2026-03-18_17-47-57,1773870477,64.61294317245483,263.60997009277344,2335579,dh-node7,10.199.0.7,263.60997009277344,4,43.86635228484321,3.6381470899563276e-05,43.86579649110945,12.564316056139084,31.254247701670085,0.032630660584080956,0.0,38,0.0,39.19509785912821,287.0,787,136.25270229843719,0.0009061238736765918,61.25,3.0,0.001414921087911369,0.009711653672345843,29.53571428571428,2.065038859742559,1.1795289808798548,28.0,32195.000000000022,136.25270229843719,0.004887135328050291,4286.0,2.2490867633189606,153.07142857142858,82.03303175399586,7,0,7,6.370454545454546,11.590909090909088,0.08829545454545455,0.02259114583333333,104.89285714285712,103.35714285714288,0.00031999163615266423,39785.999999999985,15.151785714285717,14.383928571428577,0.0011996976916321459,20623.999999999993,19161.999999999996,2937.000000000001,2893.999999999999,14.383928571428577,5831.0,0.45000001788139343,0.018639553,0.21940672,0.001,24.256035,128.0,176640,46.331688,0.0050967177,789760,0.26055473,494418,4.0,2.5225062,1.0,0.05,2827.903816911041,5914680,4906.169264,0,176640,30203846,4906.169264,789760,494418,111595.9856404235,2827.89584806584,2.9278019891978113e-05,0.00015480651944530094,0.0001477541932250389,5.415965797501515e-05,2.5227008476963734e-05,0.00016845024135953756,0.5658509435079627,8.866684444869807e-06,5.454611401214805e-05,3.7795273179880836e-05,1.6170507869926025e-05,9.218942913507938e-06,6.853727455418678e-05,3.347127056525162e-06,0.0001375441237799373,0.00012119574038587366,0.0006888969114341733,9.673148177186907e-06,6.372086388531759e-05,2.361949372393867e-05,0.1641802409222517,1.498746117274277e-05,0.026459322837293613,0.0025413254214013,7.294698929646982e-05,0.008817062994977459,0.22460311180631373,0.13498539046482744,0.003147342466931091
1,36427.000000000044,False,5,6fdea_00000,2026-03-18_17-48-32,1773870512,35.62488675117493,299.23485684394836,2335579,dh-node7,10.199.0.7,299.23485684394836,5,43.78381359094622,3.649484492304269e-05,43.78325540045825,12.537214449347886,31.198843338573027,0.03260936861740168,0.0,32,2.0,39.324218650633966,329.0,223,79.20471007908749,0.0009033190456476397,69.75,4.0,0.0013887483970294314,0.008079094577906856,33.52976190476191,2.419399168545354,1.192636025278061,42.0,36427.000000000044,79.20471007908749,0.004818781542351811,4232.0,1.1894754613306195,100.76190476190479,82.92525252737802,7,0,7,7.5,11.6,0.1363265306122449,0.022591145833333333,49.809523809523824,58.214285714285694,0.0003227428112605678,44323.0,16.86904761904762,16.66071428571428,0.0012037534249436503,22715.99999999998,21607.000000000004,2092.0,2445.0,16.66071428571428,4536.999999999999,0.675000011920929,0.035413563,3.6426954,0.001,41.34875,128.0,138752,46.16949,0.14398365,928512,0.20088708,494418,5.0,5.7912498,1.0,0.05,2881.130408434884,4587488,4899.42757136,0,138752,34791334,4899.42757136,928512,494418,112451.00020182176,2881.121263581252,2.8608245417646405e-05,0.0001529163025395928,0.00015440610707851156,5.349977441708153e-05,2.4809564083044877e-05,0.00016775624831441712,0.5632904394528989,9.159166957311962e-06,5.434306296400891e-05,3.759151798622235e-05,1.6086248273083822e-05,9.230578051785552e-06,6.86567364808507e-05,3.3635388535144873e-06,0.00013977192278044677,0.0001179278544923618,0.0006911320481928276,9.712405590284283e-06,6.30531035758465e-05,2.3120367876448046e-05,0.1626259184410719,1.4967866947671866e-05,0.02646839383008824,0.0025391373754660323,7.26944799619494e-05,0.008803097186167258,0.22421830239940188,0.13439190599820153,0.0031326515821584475
1,41756.00000000006,False,6,6fdea_00000,2026-03-18_17-49-58,1773870598,85.80764126777649,385.04249811172485,2335579,dh-node7,10.199.0.7,385.04249811172485,6,44.20389053931729,3.644677665151874e-05,44.20332721679465,12.858438665135516,31.2977124076678,0.032601690280111374,0.0,43,-0.75,39.37345434432972,364.0,704,130.42874817485134,0.0008973486549220263,57.0,5.0,0.0013563749473183475,0.009275589508373731,25.72857142857142,2.6924132037063835,1.226951118471115,35.0,41756.00000000006,130.42874817485134,0.004791965342901235,5329.0,2.3366025597189686,152.2571428571428,82.55178306668512,7,0,7,6.6982905982905985,11.599999999999993,0.09230769230769231,0.022591145833333326,114.02857142857144,102.71428571428574,0.0003185286842388602,51908.99999999998,14.214285714285717,11.514285714285712,0.001186124466440225,26706.999999999978,25201.999999999993,3991.0,3595.0,11.514285714285712,7586.0,1.0125000476837158,0.020921063,0.39070764,0.001,16.496767,128.0,229760,46.320343,0.13002951,1158272,0.27211058,494418,6.0,2.5625737,1.0,0.05,2870.6481453570805,9565555,4903.7232956463995,0,229760,44356889,4903.7232956463995,1158272,494418,112389.47768465593,2870.639841261755,2.8129530743891142e-05,0.00015180264548875558,0.00015247667306407376,5.295093501205507e-05,2.4505732160149233e-05,0.00016733379007547564,0.5664842818592843,8.880139497426907e-06,5.441180703097745e-05,3.7644866706969513e-05,1.604112652951233e-05,9.090902137860418e-06,6.888901634552033e-05,3.2405935655069287e-06,0.00013549263530838942,0.00012117224686180007,0.000679242785360836,9.661701749854254e-06,6.325981670581974e-05,2.309338267537277e-05,0.16116977636807212,1.4988299003061537e-05,0.02643955342217777,0.0025324320415503116,7.300960596090577e-05,0.008837054123384184,0.2252052332554871,0.13807044877630845,0.0031230778559534476
1,46281.00000000007,False,7,6fdea_00000,2026-03-18_17-51-13,1773870673,74.9785885810852,460.02108669281006,2335579,dh-node7,10.199.0.7,460.02108669281006,7,44.51149137834512,3.637584779068373e-05,44.510925638406654,13.125181951184093,31.338733950562577,0.032488560337090265,0.0,37,-8.25,39.35091796970378,392.0,710,136.613852318651,0.0008888940854147287,63.75,6.0,0.0013362080837619988,0.009826970304166883,26.544642857142847,3.312022579263711,1.288256294139441,28.0,46281.00000000007,136.613852318651,0.004802646106689154,4525.0,2.5849210091317736,161.60714285714283,81.22706955037033,7,0,7,6.864077669902912,11.59999999999999,0.09184466019417477,0.022591145833333322,120.64285714285712,111.35714285714288,0.000314588359032363,58404.99999999997,14.866071428571423,11.678571428571425,0.0011800845699011333,30084.999999999985,28319.999999999985,3378.000000000001,3117.999999999999,11.678571428571425,6496.0,1.0125000476837158,0.014681285,0.1939214,0.001,25.799103,128.0,196608,46.34701,-0.034953404,1354880,0.22132349,494418,7.0,2.5313606,1.0,0.05,2858.1331955340565,6950400,4899.936062689935,0,196608,51307289,4899.936062689935,1354880,494418,111401.67466664342,2858.1253618486053,2.8102006412000264e-05,0.00015227197380370935,0.0001501743683723383,5.277686951931353e-05,2.445579070715573e-05,0.00016854967789487136,0.5657227164997802,8.836509791933538e-06,5.3884884149273354e-05,3.752831714219868e-05,1.604507648306978e-05,9.140525043504519e-06,6.749825838201665e-05,3.2259078927971585e-06,0.0001346296348275094,0.00012128385634680042,0.0006766088224191174,9.641403860553111e-06,6.276642374507087e-05,2.2846891233345775e-05,0.15971616841351108,1.4971166732816613e-05,0.026432992617228864,0.0025232635414747266,7.295741029013357e-05,0.0088536158526288,0.22568065348154984,0.1382994562079909,0.0031148850362841124
1,50453.00000000008,False,8,6fdea_00000,2026-03-18_17-51-54,1773870714,40.875123500823975,500.89621019363403,2335579,dh-node7,10.199.0.7,500.89621019363403,8,44.47500045751139,3.6209739246174656e-05,44.47443413298299,13.137577683483553,31.289865449658603,0.03248643201554803,0.0,38,-3.0,39.4099664345277,427.0,328,90.02552574537378,0.0009216394015656509,76.25,7.0,0.0013159345568756822,0.00820590172353671,32.92857142857144,3.676617382229321,1.3063285680119978,35.0,50453.00000000008,90.02552574537378,0.00479908066107725,4172.0,1.470801087681736,119.20000000000002,81.34907610324125,7,0,7,8.589090909090908,11.600000000000001,0.11527272727272729,0.022591145833333343,60.74285714285714,74.42857142857142,0.0003291370263391061,63136.0,16.24285714285714,16.685714285714287,0.0012244332660098353,32210.999999999964,30924.999999999993,2126.0,2605.0000000000005,16.685714285714287,4731.000000000001,1.0125000476837158,0.01941872,2.131335,0.001,37.287178,128.0,144128,46.184685,-0.020666994,1499008,0.37197518,494418,8.0,4.4415746,1.0,0.05,2891.3778028542993,4697672,4892.656702063036,0,144128,56004961,4892.656702063036,1499008,494418,111573.0911755879,2891.369075850602,2.7807024308604588e-05,0.00015279787936076992,0.00014782176636046296,5.270544067509895e-05,2.4453982184512125e-05,0.00016970323357376978,0.5652858894251117,9.25040892445558e-06,5.663848461039921e-05,3.8283917123636975e-05,1.6494426508215703e-05,9.44352377564546e-06,6.983887132753172e-05,3.400737644577838e-06,0.00014149199324421438,0.00012073057428028881,0.0007030560156222983,1.0102225327006842e-05,6.549494920625901e-05,2.3637651889747526e-05,0.15821054369878806,1.4908575635730851e-05,0.02632089536128178,0.0025113978064444055,7.283249736880133e-05,0.008821409603814587,0.22482897858664708,0.14039942821562895,0.003098291116306473
1,55250.00000000007,False,9,6fdea_00000,2026-03-18_17-53-03,1773870783,68.16455292701721,569.0607631206512,2335579,dh-node7,10.199.0.7,569.0607631206512,9,44.71175802453666,3.602896337407123e-05,44.71119090483416,13.308333120830145,31.355970505482702,0.03242460030359241,0.0,35,-3.0,39.471154325283806,455.0,523,142.43511218787722,0.0008838764345471251,56.0,8.0,0.0012955426604002152,0.010553977660338179,26.196428571428566,3.9029536036463344,1.3600730809172816,28.0,55250.00000000007,142.43511218787722,0.004786148118125209,4797.0,2.8150436766695104,171.32142857142856,81.5072691861836,7,0,7,7.114893617021277,11.59999999999999,0.10755319148936171,0.022591145833333322,117.5,134.85714285714286,0.0003103382946525788,70202.00000000001,13.401785714285717,12.79464285714286,0.0011709764487472722,35500.99999999998,34701.000000000015,3290.0,3775.999999999999,12.79464285714286,7066.000000000001,1.0125000476837158,0.014119441,-0.12286593,0.001,25.01373,128.0,213760,46.349445,-0.048668034,1712768,0.1595571,494418,9.0,2.2289784,1.0,0.05,2903.500568250119,8010990,4891.700135042406,0,213760,64015951,4891.700135042406,1712768,494418,111866.65955292141,2903.492956469693,2.750817103532534e-05,0.00015259393243481355,0.0001458689154979642,5.244906800583542e-05,2.4360961425545154e-05,0.0001701011514633468,0.5647758712995368,8.585720936855615e-06,5.414176358112872e-05,3.711688426565511e-05,1.558532934058689e-05,8.958215286002693e-06,6.637145434568972e-05,3.165211755899713e-06,0.0001332415028785962,0.00012366855358610947,0.0006684181630924671,9.239104881550445e-06,6.306623817622437e-05,2.304919023424866e-05,0.1567921837717264,1.4878349922958843e-05,0.02631961626707621,0.0025020906774945585,7.266802302146276e-05,0.008846181746449772,0.22548714805173364,0.14064938118392456,0.0030894177355438933
1,59889.00000000005,False,10,6fdea_00000,2026-03-18_17-54-19,1773870859,76.66783356666565,645.7285966873169,2335579,dh-node7,10.199.0.7,645.7285966873169,10,45.03112062467262,3.587094536200482e-05,45.03055147653692,13.565147900731931,31.41858086908816,0.03239029548850447,0.0,34,0.0,39.33636563567615,483.0,885,157.7654250902725,0.0008935856924800079,60.75,9.0,0.0012796799538236981,0.010503344687536635,26.6875,4.3006234446715315,1.3990559968447092,28.0,59889.00000000005,157.7654250902725,0.004765517352649682,4639.0,2.8127904439794027,165.67857142857142,80.44534646035927,7,0,7,6.895192307692307,11.599999999999996,0.09134615384615384,0.02259114583333333,129.28571428571425,119.14285714285712,0.0003131026404365977,77157.99999999999,14.883928571428577,11.803571428571425,0.0011824069597347153,39120.99999999999,38037.00000000003,3619.9999999999995,3336.000000000001,11.803571428571425,6956.0,1.0125000476837158,0.015034921,-0.4208958,0.001,15.29754,128.0,210432,46.342567,-0.087420456,1923200,0.38205153,494418,10.0,1.9684299,1.0,0.05,2895.5275231932087,7626516,4889.173133691982,0,210432,71642467,4889.173133691982,1923200,494418,111245.82643073655,2895.5202729441176,2.7401302014640944e-05,0.00015238930220959332,0.000144111211517105,5.2764397274721954e-05,2.4350614834542835e-05,0.00017048437540449912,0.5648450502668044,8.672554477096788e-06,5.41179804438001e-05,3.735380350176108e-05,1.582953869522133e-05,8.979295207308477e-06,6.714611358267579e-05,3.209683503278012e-06,0.00013411193395059453,0.0001236299329910032,0.000677786576940934,9.340536064682675e-06,6.334625995994864e-05,2.3009140151894636e-05,0.15536393318378997,1.48353856229635e-05,0.02620665068488063,0.0024877863203061176,7.236029359482604e-05,0.008837184727312809,0.2252758267114407,0.14251634106359393,0.0030743401698919396
