iteration,steps,env_steps,internal_ticks,score_red
232,104,104,600,74.0
233,74,74,600,57.0
234,83,83,600,78.0
235,101,101,600,72.0
236,80,80,600,69.0
237,105,105,600,81.0
238,334,334,601,54.0
239,96,96,600,81.0
240,97,97,600,69.0
241,143,143,600,63.0
242,79,79,600,63.0
243,100,100,600,78.0
244,204,204,600,75.0
245,166,166,600,42.0
246,108,108,600,66.0
247,132,132,600,63.0
248,93,93,600,81.0
249,77,77,600,75.0
250,97,97,600,66.0
251,89,89,600,57.0
252,95,95,600,60.0
253,87,87,600,78.0
254,210,210,600,42.0
255,87,87,600,78.0
256,119,119,600,48.0
257,91,91,600,81.0
258,83,83,600,66.0
259,106,106,600,81.0
260,152,152,600,45.0
261,164,164,600,75.0
262,102,102,600,81.0
263,105,105,601,72.0
264,211,211,600,48.0
265,78,78,600,57.0
266,166,166,600,42.0
267,186,186,600,74.0
268,116,116,601,81.0
269,127,127,600,50.0
270,85,85,600,75.0
271,117,117,600,78.0
272,313,313,600,36.0
273,149,149,600,66.0
274,93,93,600,75.0
275,89,89,600,72.0
276,88,88,600,75.0
277,96,96,601,75.0
278,75,75,600,90.0
279,96,96,600,54.0
280,83,83,600,78.0
281,126,126,600,69.0
282,67,67,600,57.0
283,87,87,601,75.0
284,74,74,600,89.0
285,133,133,600,63.0
286,75,75,600,69.0
287,84,84,600,57.0
288,275,275,600,51.0
289,78,78,600,65.0
290,85,85,600,69.0
291,78,78,600,78.0
292,110,110,600,75.0
293,278,278,600,36.0
294,101,101,600,63.0
295,87,87,601,72.0
296,97,97,600,57.0
297,96,96,600,57.0
298,221,221,600,48.0
299,201,201,600,45.0
300,125,125,600,66.0
301,71,71,600,75.0
302,75,75,601,69.0
303,103,103,600,78.0
304,93,93,600,69.0
305,89,89,600,77.0
306,99,99,600,63.0
307,75,75,600,60.0
308,143,143,600,63.0
309,92,92,600,75.0
310,115,115,600,66.0
311,81,81,600,66.0
312,442,442,600,18.0
313,95,95,600,69.0
314,96,96,600,90.0
315,70,70,600,78.0
316,101,101,601,45.0
317,94,94,600,57.0
318,83,83,600,84.0
319,89,89,601,72.0
320,92,92,600,57.0
321,95,95,600,66.0
322,244,244,600,39.0
323,105,105,600,84.0
324,108,108,600,72.0
325,90,90,600,69.0
326,97,97,600,84.0
327,92,92,600,84.0
328,93,93,600,69.0
329,112,112,600,72.0
330,92,92,600,69.0
331,71,71,600,69.0
332,71,71,600,84.0
333,129,129,600,63.0
334,184,184,600,30.0
