iteration,steps,env_steps,internal_ticks,score_red
232,219,219,600,21.0
233,181,181,600,39.0
234,87,87,600,60.0
235,183,183,601,60.0
236,83,83,600,60.0
237,185,185,600,42.0
238,262,262,600,36.0
239,85,85,601,63.0
240,165,165,600,42.0
241,102,102,600,63.0
242,120,120,600,66.0
243,157,157,600,69.0
244,77,77,600,60.0
245,75,75,600,66.0
246,203,203,600,30.0
247,74,74,600,57.0
248,355,355,600,15.0
249,242,242,600,36.0
250,85,85,600,78.0
251,78,78,600,60.0
252,77,77,600,90.0
253,77,77,600,72.0
254,97,97,600,54.0
255,82,82,600,75.0
256,244,244,600,36.0
257,88,88,600,69.0
258,84,84,600,63.0
259,112,112,600,78.0
260,78,78,600,66.0
261,79,79,600,72.0
262,97,97,600,66.0
263,69,69,600,72.0
264,201,201,600,54.0
265,104,104,601,66.0
266,119,119,600,63.0
267,116,116,600,42.0
268,83,83,600,75.0
269,81,81,600,69.0
270,100,100,600,57.0
271,203,203,600,33.0
272,71,71,600,63.0
273,87,87,600,63.0
274,83,83,600,75.0
275,76,76,600,69.0
276,133,133,601,57.0
277,132,132,601,69.0
278,110,110,600,54.0
279,120,120,600,81.0
280,75,75,600,45.0
281,66,66,600,78.0
282,150,150,600,66.0
283,195,195,600,27.0
284,190,190,600,39.0
285,138,138,600,57.0
286,113,113,600,75.0
287,135,135,600,87.0
288,92,92,600,72.0
289,87,87,600,66.0
290,192,192,600,24.0
291,169,169,600,45.0
292,82,82,600,66.0
293,68,68,600,66.0
294,67,67,600,54.0
295,74,74,600,63.0
296,94,94,600,63.0
297,76,76,600,84.0
298,115,115,600,57.0
299,81,81,600,57.0
300,82,82,600,69.0
301,80,80,600,45.0
302,91,91,600,77.0
303,81,81,600,69.0
304,85,85,600,78.0
305,207,207,600,42.0
306,86,86,601,39.0
307,84,84,600,69.0
308,72,72,600,39.0
309,79,79,600,45.0
310,142,142,600,56.0
311,157,157,600,57.0
312,81,81,600,48.0
313,89,89,600,60.0
314,211,211,600,12.0
315,80,80,600,57.0
316,112,112,600,54.0
317,133,133,600,42.0
318,79,79,600,45.0
319,80,80,600,66.0
320,76,76,600,48.0
321,192,192,600,27.0
322,73,73,600,48.0
323,180,180,600,47.0
324,92,92,600,48.0
325,152,152,601,54.0
326,186,186,600,39.0
327,111,111,600,51.0
328,79,79,600,63.0
329,90,90,600,39.0
330,62,62,600,69.0
331,83,83,600,57.0
332,96,96,601,78.0
333,231,231,600,33.0
334,99,99,600,66.0
335,188,188,600,36.0
336,75,75,600,66.0
337,74,74,600,39.0
338,82,82,600,81.0
339,101,101,600,45.0
340,82,82,600,51.0
341,134,134,600,33.0
342,84,84,600,63.0
343,70,70,600,78.0
344,87,87,600,63.0
345,186,186,600,24.0
346,74,74,600,60.0
347,89,89,600,81.0
348,83,83,600,39.0
349,195,195,600,30.0
350,121,121,600,57.0
351,100,100,600,48.0
352,73,73,600,72.0
353,75,75,600,45.0
354,149,149,600,36.0
355,87,87,600,63.0
356,80,80,600,60.0
357,96,96,600,72.0
358,86,86,600,63.0
359,168,168,601,30.0
360,88,88,600,51.0
361,88,88,600,69.0
362,115,115,600,66.0
363,69,69,600,75.0
364,79,79,600,39.0
365,80,80,600,45.0
366,79,79,600,63.0
367,122,122,600,48.0
368,75,75,600,80.0
369,76,76,600,66.0
370,80,80,601,60.0
371,87,87,600,75.0
372,85,85,600,72.0
373,76,76,600,54.0
374,174,174,601,30.0
375,98,98,600,75.0
376,121,121,600,39.0
377,80,80,600,63.0
378,74,74,600,51.0
379,102,102,600,57.0
380,82,82,600,63.0
381,113,113,600,60.0
382,88,88,600,63.0
383,181,181,600,33.0
384,92,92,600,66.0
385,164,164,600,39.0
386,178,178,600,21.0
387,85,85,601,66.0
388,165,165,600,69.0
389,81,81,600,60.0
390,98,98,600,69.0
391,116,116,600,72.0
392,89,89,601,57.0
393,74,74,600,75.0
394,85,85,600,54.0
395,72,72,601,66.0
396,114,114,600,66.0
397,82,82,600,69.0
398,142,142,600,51.0
399,87,87,600,51.0
400,78,78,600,81.0
401,118,118,600,66.0
402,127,127,600,51.0
403,210,210,600,36.0
404,88,88,600,54.0
405,84,84,600,75.0
406,78,78,600,66.0
407,113,113,600,81.0
408,170,170,600,45.0
409,81,81,600,63.0
410,81,81,600,63.0
411,148,148,600,60.0
412,66,66,600,63.0
413,259,259,600,42.0
414,95,95,600,69.0
415,99,99,600,78.0
416,70,70,600,39.0
417,79,79,600,60.0
418,94,94,600,45.0
419,70,70,600,66.0
420,107,107,600,39.0
421,93,93,600,51.0
422,77,77,600,60.0
423,71,71,600,69.0
424,78,78,600,48.0
425,96,96,601,90.0
426,78,78,600,72.0
427,68,68,600,56.0
428,67,67,600,84.0
429,94,94,600,63.0
430,74,74,600,51.0
431,82,82,600,63.0
432,106,106,601,60.0
433,189,189,600,27.0
434,89,89,601,81.0
435,88,88,600,63.0
436,66,66,600,54.0
437,88,88,600,78.0
438,90,90,600,63.0
439,166,166,600,45.0
440,92,92,600,51.0
441,74,74,600,68.0
442,267,267,600,36.0
443,103,103,600,60.0
444,93,93,600,69.0
445,105,105,600,72.0
446,212,212,600,45.0
447,172,172,600,45.0
448,81,81,600,81.0
449,68,68,600,66.0
450,81,81,600,78.0
451,97,97,600,63.0
452,260,260,600,39.0
453,167,167,600,18.0
454,89,89,600,60.0
455,85,85,600,57.0
456,83,83,600,48.0
457,70,70,600,57.0
458,85,85,600,48.0
459,93,93,600,72.0
460,179,179,601,27.0
461,79,79,600,57.0
462,99,99,600,63.0
463,79,79,600,57.0
464,86,86,600,60.0
465,83,83,600,69.0
466,148,148,600,45.0
467,89,89,601,63.0
468,79,79,600,48.0
469,84,84,600,48.0
470,72,72,600,39.0
471,92,92,600,51.0
472,237,237,600,57.0
473,81,81,600,66.0
474,76,76,600,60.0
475,91,91,600,63.0
476,81,81,600,63.0
477,79,79,600,51.0
478,94,94,600,72.0
479,90,90,600,48.0
480,82,82,600,60.0
481,186,186,600,63.0
482,88,88,600,69.0
483,100,100,600,57.0
484,98,98,600,54.0
485,88,88,600,48.0
486,198,198,600,27.0
487,113,113,600,54.0
488,73,73,600,81.0
489,151,151,601,39.0
490,85,85,600,60.0
491,83,83,600,42.0
492,89,89,601,66.0
493,159,159,601,57.0
494,161,161,600,44.0
495,86,86,600,60.0
496,92,92,600,54.0
497,174,174,600,27.0
498,182,182,600,35.0
499,86,86,600,69.0
500,91,91,600,59.0
501,78,78,600,42.0
502,73,73,601,63.0
503,171,171,600,48.0
504,96,96,600,66.0
505,113,113,601,69.0
506,156,156,600,47.0
507,87,87,600,69.0
508,93,93,600,75.0
509,111,111,600,51.0
510,88,88,600,60.0
511,102,102,600,51.0
512,98,98,600,57.0
513,84,84,600,69.0
514,71,71,600,63.0
515,95,95,600,75.0
516,86,86,600,39.0
517,75,75,601,48.0
518,184,184,600,36.0
519,70,70,600,84.0
520,220,220,601,33.0
521,137,137,600,48.0
522,87,87,600,78.0
523,184,184,600,39.0
524,82,82,600,39.0
525,177,177,600,53.0
526,73,73,600,45.0
527,70,70,600,57.0
528,199,199,600,57.0
529,82,82,600,75.0
530,215,215,600,42.0
531,113,113,600,51.0
532,103,103,600,63.0
533,118,118,600,69.0
534,90,90,600,69.0
535,181,181,600,27.0
536,85,85,600,48.0
537,221,221,600,33.0
538,199,199,600,42.0
539,95,95,600,51.0
540,98,98,600,51.0
541,108,108,600,63.0
542,210,210,600,36.0
543,104,104,600,51.0
544,71,71,600,63.0
545,184,184,600,33.0
546,77,77,600,60.0
547,175,175,600,78.0
548,199,199,600,42.0
549,80,80,601,66.0
550,90,90,601,60.0
551,98,98,600,81.0
552,85,85,600,77.0
553,154,154,600,51.0
554,81,81,600,51.0
555,74,74,600,54.0
556,116,116,600,69.0
557,96,96,600,60.0
558,72,72,600,39.0
559,83,83,600,48.0
560,90,90,600,60.0
561,71,71,600,60.0
562,225,225,600,30.0
563,85,85,601,45.0
564,73,73,600,72.0
565,75,75,600,63.0
566,170,170,600,33.0
567,84,84,600,66.0
568,70,70,600,66.0
569,142,142,600,29.0
570,102,102,600,57.0
571,85,85,600,69.0
572,84,84,600,60.0
573,91,91,600,48.0
574,113,113,600,87.0
575,119,119,600,57.0
576,86,86,600,66.0
577,139,139,600,51.0
578,79,79,601,63.0
579,77,77,600,60.0
580,109,109,600,66.0
581,83,83,600,69.0
582,80,80,600,63.0
583,87,87,600,66.0
584,129,129,600,54.0
585,182,182,600,42.0
586,96,96,600,72.0
587,89,89,600,57.0
588,95,95,600,63.0
589,85,85,600,54.0
590,188,188,600,36.0
591,76,76,600,51.0
592,133,133,600,60.0
593,74,74,600,81.0
594,197,197,600,60.0
595,66,66,600,57.0
596,70,70,600,63.0
597,85,85,600,63.0
598,65,65,600,60.0
599,88,88,600,78.0
600,122,122,600,30.0
601,90,90,600,66.0
602,75,75,600,57.0
603,75,75,600,63.0
604,88,88,600,60.0
605,86,86,600,57.0
606,98,98,600,75.0
607,92,92,600,69.0
608,199,199,600,30.0
609,183,183,600,33.0
610,173,173,600,18.0
611,238,238,600,30.0
612,92,92,600,54.0
613,75,75,600,57.0
614,81,81,600,57.0
615,70,70,600,72.0
616,85,85,600,60.0
617,108,108,600,75.0
618,86,86,600,66.0
619,80,80,600,75.0
620,72,72,600,57.0
621,78,78,600,60.0
622,148,148,600,54.0
623,109,109,600,54.0
624,76,76,600,60.0
625,93,93,600,63.0
626,70,70,600,39.0
627,106,106,600,63.0
628,78,78,600,75.0
629,69,69,600,78.0
630,179,179,600,35.0
631,83,83,600,72.0
632,75,75,600,63.0
633,129,129,600,69.0
634,69,69,600,75.0
635,73,73,600,42.0
636,160,160,600,39.0
637,101,101,600,57.0
638,79,79,600,51.0
639,124,124,600,66.0
640,79,79,600,72.0
641,149,149,600,18.0
642,113,113,600,63.0
643,237,237,600,36.0
644,91,91,600,48.0
645,257,257,600,30.0
646,91,91,600,54.0
