num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/blue_team_score_mean,env_runners/num_episodes,env_runners/env_to_module_sum_episodes_length_out,env_runners/num_env_steps_sampled_lifetime,env_runners/env_reset_timer,env_runners/episode_return_min,env_runners/episode_duration_sec_mean,env_runners/connector_pipeline_timer,env_runners/weights_seq_no,env_runners/episode_return_mean,env_runners/episode_len_mean,env_runners/rlmodule_inference_timer,env_runners/env_step_timer,env_runners/time_between_sampling,env_runners/num_env_steps_sampled,env_runners/episode_len_max,env_runners/num_episodes_lifetime,env_runners/red_team_score_mean,env_runners/env_to_module_sum_episodes_length_in,env_runners/sample,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/module_episode_returns_mean/shared_policy,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/agent_steps/red_robot_0,env_runners/agent_steps/red_robot_1,env_runners/num_module_steps_sampled/shared_policy,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/num_trainable_parameters,learners/shared_policy/entropy,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/weights_seq_no,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/vf_loss,learners/shared_policy/vf_explained_var,learners/shared_policy/total_loss,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/mean_kl_loss,learners/shared_policy/curr_kl_coeff,learners/shared_policy/policy_loss,learners/shared_policy/num_module_steps_trained,learners/shared_policy/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch
1,12845.0,False,1,a5811_00000,2026-03-15_21-24-58,1773624298,59.899073123931885,59.899073123931885,1219401,dh-node6,10.199.0.6,59.899073123931885,1,59.885535234818235,2.6858877390623093e-05,59.88503247103654,30.02514895098284,29.822684020968154,0.030487034004181623,0.0,28.0,128.71720534548146,12845.0,0.004741862271317389,-8.25,2.9081039111811795,0.0011675803738425351,0.0,18.017857142857142,178.03571428571425,0.0009870538956288448,0.01656312559542912,0.9057562347529744,4985.000000000002,787,70.0,32.360525142857135,128.71720534548146,2.6036392327205413,36,58.25,nan,7,0,7,10.490243902439024,11.834146341463416,0.10304878048780487,0.012091908028455283,0.0003581384331974715,0.0008238203262929809,7175.0,9155.0,16330.0,12.41964285714286,5.598214285714287,12.41964285714286,3470.0000000000005,2804.000000000001,123.92857142857139,100.14285714285712,6274.0,189952,4985,7397740,4985,189952,7397740,0,499283,nan,nan,128.0,499283,1.8035262,0.001,1.0,1.0,13.256481,189952,2.981242,0.17821461,2.7845123,0.05,0.020883875,0.30000001192092896,-0.11072998,189952,nan,0.00013930871492280858,1.992387359145297e-05,4.221824455446664e-05,0.00010067248082119373,2.3113148098345847e-05,0.00014041958481749418,0.2943559109698981,7.686633718365476e-05,9.833059909405742e-06,1.8797073040790928e-05,4.21624630422592e-05,6.031487128530997e-05,9.968543358072847e-06,3.5759459593584875e-06,3.963515323034681e-05,0.0003778504748164284,0.00012245901973297423,1.8480968924176806e-05,9.000234937867163e-06,8.145553940839448e-05,0.09449505689553916,0.0011129039339721203,0.00526667688973248,0.012869701022282243,0.0919530768878758,6.74310140311718e-05,0.08430833299644291,0.003420094959437847,1.2968899682164192e-05
1,17158.0,False,2,a5811_00000,2026-03-15_21-26-11,1773624371,72.8274610042572,132.7265341281891,1219401,dh-node6,10.199.0.6,132.7265341281891,2,60.01483015859034,2.6887338608503343e-05,60.014324620345135,30.17055385107407,29.80652664878871,0.030518926475197078,0.0,21.0,172.74462279703815,17158.0,0.004878747711388955,-8.25,4.416011487089451,0.0011580880631441293,1.0,20.84523809523809,205.38095238095235,0.0008184197704102757,0.01432420944089403,1.4063050373256343,4313.0,810,91.0,32.233069437928386,172.74462279703815,2.651218155770385,69,63.75,57.92073355147361,7,0,7,9.78,12.099999999999993,0.08479999999999999,0.017940104166666665,0.00033220267387065787,0.0006614258532042257,10199.0,12146.000000000002,22345.000000000004,11.404761904761902,9.440476190476188,11.404761904761902,2991.0000000000005,3024.0,142.4285714285714,144.0,6015.000000000001,371712,4978.28,6124460,4978.28,181760,13522200,0,499283,nan,nan,128.0,499283,1.84291,0.001,1.0,2.0,19.181318,371712,1.9899313,0.12121582,1.7130044,0.05,0.028273268,0.45000001788139343,-0.19326346,181760,nan,0.00014101057305481736,1.999055119465216e-05,4.245657249004213e-05,0.00010083097403215854,2.3160648834115184e-05,0.0001418514463293898,0.29582512330031024,7.127265904111135e-05,9.333965329426428e-06,1.7604308160946725e-05,3.973969754011376e-05,5.80441368006552e-05,9.449556476616859e-06,3.4080828256297634e-06,3.637027682376007e-05,0.00030381973485873326,9.152947584280258e-05,1.676068172695166e-05,8.432228241317715e-06,4.9407881335119675e-05,0.09366964474553242,0.0011186500452458857,0.005261999510694295,0.012978186593391,0.09201663012849168,6.720749428495765e-05,0.08645014461828396,0.0034039126988500354,1.2944531626999377e-05
1,21505.000000000004,False,3,a5811_00000,2026-03-15_21-27-19,1773624439,67.22110104560852,199.9476351737976,1219401,dh-node6,10.199.0.6,199.9476351737976,3,60.08674155787533,2.6932134665548802e-05,60.08623420678099,30.274148918991976,29.774962483591164,0.030420186901185663,0.0,21.0,176.15009812310512,21505.000000000004,0.005012422708422549,0.0,4.009863639472142,0.0011485688573104125,2.0,16.511904761904763,207.0,0.0008254552548840374,0.014086708856700415,1.9232293738422261,4347.0,881,112.0,32.07985266160009,176.15009812310512,2.690135883937983,60,51.5,58.1818945697958,7,0,7,10.502173913043478,12.099999999999993,0.09467391304347825,0.018791043931159424,0.0003337778370192174,0.0006693347956363313,13264.000000000004,15271.000000000002,28535.000000000004,9.285714285714286,7.226190476190479,9.285714285714286,3125.0,3064.999999999999,148.80952380952382,145.952380952381,6189.999999999999,558720,4971.9672,6350967,4971.9672,187008,19873167,0,499283,94387.0093665235,2779.1729108669906,128.0,499283,1.8776166,0.001,1.0,3.0,11.343124,558720,2.046005,0.15440542,1.85165,0.05,0.02310394,0.675000011920929,-0.11087064,187008,2779.218424296899,0.00014201272378961357,2.0009938364674633e-05,4.258841549783751e-05,0.0001006557876218422,2.3109860462378553e-05,0.00014193757507623733,0.29481100427706264,7.162614249902637e-05,9.282339906525173e-06,1.7741233129820002e-05,3.993405442446586e-05,5.773943589356869e-05,9.514219915126212e-06,3.468849058891348e-06,3.6721945934808635e-05,0.0003054510441417727,9.360582882700053e-05,1.6869681344849346e-05,8.189540909228755e-06,5.045596491833131e-05,0.09285998341904488,0.0011164549753069877,0.005262608326016925,0.012960140707483515,0.09198744666741697,6.68706093216315e-05,0.08631480718294623,0.0033888601937331255,1.2907066056504845e-05
1,25876.999999999996,False,4,a5811_00000,2026-03-15_21-28-34,1773624514,75.83764672279358,275.7852818965912,1219401,dh-node6,10.199.0.6,275.7852818965912,4,60.24405212314702,2.697532326541841e-05,60.24354208203304,30.44649336538074,29.759988886896632,0.030350782822354698,0.0,21.0,160.7603341575489,25876.999999999996,0.005080901051771909,0.0,4.812858903071001,0.0011365940421182534,3.0,18.142857142857142,208.19047619047618,0.0008240761029002477,0.01450244951756199,2.3152975526205646,4372.0,776,133.0,31.958606291031234,160.7603341575489,2.720399173446186,51,41.0,58.217444892356895,7,0,7,9.840776699029128,12.09999999999999,0.08262135922330098,0.0193359375,0.00033334815416054915,0.0006665766542835771,16401.000000000004,18381.0,34782.000000000015,10.833333333333336,7.309523809523809,10.833333333333336,3110.0,3136.9999999999995,148.0952380952381,149.38095238095235,6247.000000000002,747392,4965.967528,6444328,4965.967528,188672,26317495,0,499283,93914.88964475898,2764.5662788000986,128.0,499283,1.9045236,0.001,1.0,4.0,13.3064995,747392,2.2110803,0.108341515,1.9307017,0.05,0.046386454,1.0125000476837158,-0.21646313,188672,2764.6076143684068,0.00014227903992259744,1.995884723895129e-05,4.289146973416321e-05,0.00010035224373088346,2.3036771688233955e-05,0.00014166642595059517,0.2945047252746744,7.176769619021606e-05,9.301551288948856e-06,1.7644361764176194e-05,3.973909117665569e-05,5.7542450135552766e-05,9.362888896339813e-06,3.4048050604607086e-06,3.648712140209629e-05,0.00030735635833001914,9.250716392310492e-05,1.6986648746180823e-05,8.108474232032068e-06,4.929074225872285e-05,0.09208201650366675,0.0011163065746277571,0.005280983784557552,0.01298932117999019,0.0922943701614414,6.654322363878601e-05,0.08645042044138232,0.003375342040269635,1.2903523709159344e-05
1,30259.0,False,5,a5811_00000,2026-03-15_21-29-29,1773624569,54.042224407196045,329.82750630378723,1219401,dh-node6,10.199.0.6,329.82750630378723,5,60.181895987445365,2.6909599525798112e-05,60.1813839033936,30.405629443775243,29.73875425427897,0.030285880883157226,0.0,28.0,153.08596938559268,30259.0,0.0051945404968432385,-1.5,3.1468049930741206,0.0011212881806948397,4.0,29.258928571428566,156.5,0.0008192293801534961,0.016348418553828962,2.844783237575407,4382.0,811,161.0,32.09681589010064,153.08596938559268,2.7672533586636843,37,64.25,59.31058942348208,7,0,7,10.847297297297297,12.099999999999998,0.11175675675675675,0.0193359375,0.0003277776376097647,0.0006551279499428552,19525.000000000004,21332.000000000007,40857.000000000015,14.160714285714283,15.098214285714283,14.160714285714283,2951.000000000001,3123.9999999999995,105.39285714285712,111.57142857142861,6074.999999999998,931328,4960.12785272,6296934,4960.12785272,183936,32614429,0,499283,95040.65951023716,2796.378080623323,128.0,499283,1.9936287,0.001,1.0,5.0,16.339,931328,1.6172626,0.31153834,1.5287355,0.05,0.032134436,1.5187500715255737,-0.02138181,183936,2796.4206257396136,0.00014217277286722227,1.981097748803126e-05,4.2918332446729594e-05,9.967157404728441e-05,2.28447311562105e-05,0.000141071507462226,0.2935074657612642,7.095863903858485e-05,9.086026146548274e-06,1.771382159193394e-05,3.9431828361331246e-05,5.7121007947536906e-05,9.274605468664334e-06,3.326604235834323e-06,3.555450489106992e-05,0.00030343480388075715,9.111123466887761e-05,1.6431149920396737e-05,8.063797753456358e-06,4.890395755056534e-05,0.09128808919774628,0.0011174702779465915,0.005279121016833741,0.012978702189550972,0.09226552059963018,6.653501177346568e-05,0.08630598959652126,0.003361012728189649,1.2868649840974247e-05
1,35008.99999999999,False,6,a5811_00000,2026-03-15_21-30-24,1773624624,55.04825735092163,384.87576365470886,1219401,dh-node6,10.199.0.6,384.87576365470886,6,60.1304420130602,2.680474226657357e-05,60.129929550968896,30.35530430479586,29.737672419545696,0.030231897315120965,0.0,28.0,132.85957467108318,35008.99999999999,0.005323212013949111,-5.75,3.3259484822046943,0.0011071513614792472,5.0,29.044642857142847,169.64285714285717,0.0008190550877922032,0.015014522378688938,3.1186594911511887,4749.999999999999,684,189.0,32.41931159809241,132.85957467108318,2.780865757032842,34,60.75,60.80313833840255,7,0,7,11.089333333333334,12.099999999999998,0.11173333333333334,0.0193359375,0.00033039753187716505,0.0006593014032042,22657.000000000007,24430.000000000015,47087.00000000003,15.45535714285714,13.589285714285717,15.45535714285714,3098.000000000001,3131.999999999999,110.64285714285712,111.85714285714288,6230.0,1120000,4958.026574192801,7001500,4958.026574192801,188672,39615929,0,499283,96623.38457009531,2827.2706620269014,128.0,499283,1.8909367,0.001,1.0,6.0,18.963413,1120000,2.1433513,0.1686387,2.0388215,0.05,0.028789839,2.278125047683716,-0.053707846,188672,2827.30892653386,0.0001427526997755355,1.977548486598908e-05,4.2853756138202884e-05,9.924726535375779e-05,2.27392888888028e-05,0.00014116100526438235,0.29335746110433353,7.155709951751208e-05,9.336861545126819e-06,1.777176643739843e-05,3.93721942807679e-05,5.6878319076800205e-05,9.295550340862727e-06,3.4041670233301356e-06,3.556845708934572e-05,0.00030603047645008684,9.17385616880965e-05,1.6512531869550616e-05,8.171099952741178e-06,4.804382894996319e-05,0.0905298800259979,0.001121112945268935,0.005297734455144478,0.012997060097790922,0.09270586705268075,6.696567000121576e-05,0.08644222609193886,0.003354825720080206,1.2885091339366835e-05
1,39644.0,False,7,a5811_00000,2026-03-15_21-31-35,1773624695,71.01835894584656,455.8941226005554,1219401,dh-node6,10.199.0.6,455.8941226005554,7,60.23920547438943,2.6785385911007403e-05,60.238691537639454,30.443521573507223,29.75830491628937,0.030145111701411664,0.0,28.0,150.45929136642872,39644.0,0.005447099132518956,-5.25,3.2936252190764734,0.001095555239129387,6.0,23.59821428571428,165.53571428571425,0.0008159447948213629,0.015826101275379385,3.5015087171666037,4635.000000000001,736,217.0,32.50090630128858,150.45929136642872,2.817221371228043,37,58.5,61.12674397241587,7,0,7,10.136082474226804,12.102061855670101,0.09185567010309277,0.019335937500000004,0.00032752416611679425,0.0006544418585445662,25691.000000000015,27783.000000000007,53474.00000000003,10.928571428571425,12.66964285714286,10.928571428571425,3353.0,3033.999999999999,119.75,108.35714285714288,6387.000000000001,1313408,4954.796308450873,7003485,4954.796308450873,193408,46619414,0,499283,96720.40923482884,2821.999694722548,128.0,499283,1.9137031,0.001,1.0,7.0,15.3554535,1313408,1.964054,0.34201682,1.784898,0.05,0.025246583,3.4171876907348633,-0.14098561,193408,2822.037534485815,0.00014350608636891853,1.978836607372937e-05,4.296117386037295e-05,9.945165352350695e-05,2.2797611891938802e-05,0.0001413796109304468,0.2926698572435178,7.121852144469716e-05,8.982520915839045e-06,1.7510774594599545e-05,3.947704116112721e-05,5.7033727014128316e-05,9.275099670917338e-06,3.3416298501773157e-06,3.585027329721471e-05,0.0003016520444277948,9.120803311801531e-05,1.6735570273577565e-05,7.987257873527705e-06,4.894714803593803e-05,0.0897571456460841,0.001127490846137933,0.005300168671053958,0.013087530835419192,0.09278656400209336,6.688333325643336e-05,0.0863634967519278,0.0033424455844817905,1.2847931461750497e-05
1,44578.0,False,8,a5811_00000,2026-03-15_21-32-36,1773624756,60.82014846801758,516.714271068573,1219401,dh-node6,10.199.0.6,516.714271068573,8,60.24489526477444,2.6771110234207194e-05,60.24438073644263,30.447639673122005,29.759951164736474,0.030074612973935832,0.0,28.0,134.13087678898066,44578.0,0.005522674629085377,0.0,3.1926136701783556,0.0010821027678556067,7.0,28.446428571428566,176.21428571428575,0.0008204196987677955,0.014585115535260953,3.8862984289602767,4933.999999999998,697,245.0,32.59830300833024,134.13087678898066,2.827600370856097,34,62.0,62.004420608060975,7,0,7,10.20722891566265,12.114457831325302,0.10710843373493975,0.0193359375,0.0003313432886481436,0.0006582512428623339,28829.000000000022,31021.0,59850.00000000003,14.45535714285714,13.991071428571423,14.45535714285714,3238.000000000001,3137.9999999999995,115.64285714285712,112.07142857142861,6375.999999999998,1506432,4954.588345366365,7440472,4954.588345366365,193024,54059886,0,499283,97998.71405211947,2839.525317958187,128.0,499283,1.8608866,0.001,1.0,8.0,13.051489,1506432,1.9592671,0.2011689,1.9119757,0.05,0.01586587,3.4171876907348633,-0.008463509,193024,2839.559293762818,0.00014452733759351316,1.9736820585772897e-05,4.285474818268003e-05,9.91288354657206e-05,2.2688005797543483e-05,0.00014111252981194514,0.2927825911906638,7.1353816649607e-05,9.302511609937715e-06,1.7632477905038934e-05,3.94255020153387e-05,5.730423088406238e-05,9.436550808925647e-06,3.524189149555947e-06,3.5931713616381616e-05,0.000303368572544974,9.162790173511915e-05,1.6638355912067774e-05,8.102058912004718e-06,4.814789832623915e-05,0.08902006557931136,0.0011335010378609347,0.0053454195741577835,0.01318300089665731,0.09324474031064421,6.749769013701285e-05,0.08661715629430367,0.0033350132078092563,1.2869180877453923e-05
1,49481.0,False,9,a5811_00000,2026-03-15_21-34-07,1773624847,90.98342251777649,607.6976935863495,1219401,dh-node6,10.199.0.6,607.6976935863495,9,60.55213053847662,2.6741079637826302e-05,60.551614386168204,30.69887105401061,29.81603627869842,0.03000606942486078,0.0,21.0,202.3216119592723,49481.0,0.005598881376886502,-12.0,4.738032189142403,0.0010705109500011105,8.0,16.88095238095238,233.47619047619042,0.0007717593640805275,0.013981871415514617,4.281323775526532,4903.000000000001,877,266.0,32.530629234605556,202.3216119592723,2.870141995387828,58,54.0,61.768784333639374,7,0,7,9.870161290322581,12.124999999999993,0.0796774193548387,0.020125588037634413,0.00031201469952157917,0.0006231561712331397,32588.00000000002,34670.99999999999,67259.00000000003,9.583333333333334,7.297619047619049,9.583333333333334,3650.0,3759.0,173.80952380952382,179.0,7409.0,1730048,4954.0724619127,8565541,4954.0724619127,223616,62625427,0,499283,97804.71833657954,2820.404945457179,128.0,499283,1.9686396,0.001,1.0,9.0,12.815972,1730048,1.3104128,0.21445745,1.1173877,0.05,0.013309414,3.4171876907348633,-0.14007378,223616,2820.437035331551,0.00014522191263944574,1.9682263299742238e-05,4.2849804734345204e-05,9.896907217185068e-05,2.251617786041837e-05,0.00014079925052848917,0.29301868996862745,6.768501594504972e-05,8.599810086133035e-06,1.6696405148346906e-05,3.745913251210045e-05,5.498258162243351e-05,8.847815773310076e-06,3.122283842215352e-06,3.450218309829074e-05,0.00028712097643848457,8.650027416738902e-05,1.6008971385539442e-05,7.559127056656458e-06,4.713087158403136e-05,0.08830591075527677,0.001132874858732993,0.0053775323582491525,0.013200252868034643,0.09379291740866552,6.713452469023685e-05,0.086986963132161,0.0033236206352422293,1.2831870439700655e-05
1,54940.0,False,10,a5811_00000,2026-03-15_21-35-36,1773624936,89.0695230960846,696.7672166824341,1219401,dh-node6,10.199.0.6,696.7672166824341,10,60.83698267105062,2.665851076113841e-05,60.83646446891585,30.900177910981153,29.899555013141516,0.029995745591043902,0.0,28.0,170.05147749469413,54940.0,0.005675205746019077,-4.5,3.8568854787320443,0.0010593977682274791,9.0,23.9375,194.96428571428575,0.0007974484058979065,0.014312530533589872,4.872210227738199,5458.999999999998,735,294.0,32.49720918113959,170.05147749469413,2.912945816509302,30,62.5,61.84504890923172,7,0,7,9.525409836065574,12.139344262295078,0.08991803278688522,0.021419270833333334,0.0003231011836290005,0.0006462074465121509,36681.99999999999,38483.00000000001,75165.00000000001,12.491071428571425,11.446428571428575,12.491071428571425,3812.000000000001,4094.0000000000005,136.14285714285714,146.21428571428575,7906.0,1969024,4959.1217372935735,10191953,4959.1217372935735,238976,72817380,0,499283,98635.91937586163,2813.5380763010767,128.0,499283,2.005083,0.001,1.0,10.0,16.723413,1969024,1.6572257,0.12825805,1.4827328,0.05,0.011901544,3.4171876907348633,-0.11490865,238976,2813.568689042078,0.00014545961312669817,1.957517481905104e-05,4.289178267620959e-05,9.873746079609486e-05,2.238443856469181e-05,0.00014075890367099282,0.292755802116985,7.00771402351198e-05,8.889808052584105e-06,1.712425082161305e-05,3.858377685580103e-05,5.683278905715811e-05,9.20481666098902e-06,3.3658713527718635e-06,3.5661381397256194e-05,0.0002969159763134567,9.015238617032944e-05,1.6565851533452547e-05,7.928854396443593e-06,4.8670929179592636e-05,0.087580867188525,0.0011387160080558705,0.005394211834236804,0.013314425890209992,0.09405406933463668,6.712443011284366e-05,0.08706123680171542,0.0033170024080549734,1.2880749824962863e-05
