-72.000, -72.000, 66.966
-61.064, -60.914, 40.672
-56.788, -52.477, 24.431
-51.798, -49.762, 42.104
-42.025, -50.346, 21.361
-37.292, -51.853, 41.961
-29.775, -58.075, 25.246
-23.997, -59.115, 40.798
-15.146, -55.702, 38.179
-6.583, -58.047, 36.968
1.439, -54.956, 36.132
9.403, -57.635, 38.540
17.889, -54.753, 54.382
27.365, -46.379, 30.748
31.953, -40.895, 12.734
31.387, -37.988, 20.451
36.129, -38.347, 36.766
42.995, -33.252, 36.923
44.899, -24.880, 31.818
50.695, -20.281, 33.546
51.583, -12.531, 28.960
56.894, -8.389, 40.273
59.369, 0.643, 34.251
56.619, 8.118, 39.783
59.462, 16.921, 48.366
57.459, 27.989, 70.582
55.718, 44.310, 49.105
57.186, 55.634, 30.672
61.393, 61.393, 0.000
72.000, 72.000, 0.000
endData
